"Label (Grouping)","Census Tract 102.06, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Number!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Percent Distribution!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Median income (dollars)!!Estimate"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","0","0.0%","-","0","0.0%","-","44","14.4%","37,321","53","21.8%","-","22","11.0%","16,000","64","19.3%","-","148","20.4%","-","196","19.7%","-","24","4.3%","125,000","72","11.1%","-","45","47.4%","-","0","0.0%","-","22","6.9%","13,929","13","4.4%","-","46","6.1%","-","28","7.3%","-","24","5.1%","-","109","17.9%","15,662","70","8.9%","10,735","49","13.6%","9,375","104","15.4%","11,711","18","10.7%","-","0","0.0%","-","203","37.7%","8,918","46","9.1%","-","78","12.4%","-","101","12.9%","14,698","147","20.6%","21,831","94","10.5%","-","118","13.6%","7,201","285","24.2%","18,528","321","24.1%","8,864","82","16.5%","2,500-","74","10.9%","2,500-","114","10.9%","11,844","76","14.7%","13,304","182","24.2%","12,230","26","4.8%","21,250","70","9.2%","10,784","182","11.2%","-","0","0.0%","-","39","4.9%","-","32","3.6%","33,636","0","-","-","0","-","-"
"    1 earner","23","10.6%","-","0","0.0%","-","160","52.5%","48,958","29","11.9%","-","110","55.0%","48,208","108","32.6%","-","303","41.8%","212,422","392","39.4%","37,143","167","29.8%","250,000+","290","44.8%","46,551","17","17.9%","-","85","21.0%","50,720","82","25.6%","41,625","48","16.2%","-","392","51.9%","76,897","135","35.4%","31,656","182","38.6%","-","279","45.8%","12,765","313","39.7%","26,843","130","36.2%","26,638","371","55.0%","-","41","24.4%","48,398","234","45.9%","50,435","171","31.7%","30,199","199","39.3%","42,422","227","36.1%","41,438","363","46.5%","33,750","229","32.1%","21,197","272","30.5%","28,311","193","22.2%","62,292","345","29.3%","21,134","569","42.7%","32,431","211","42.4%","-","287","42.2%","31,250","351","33.4%","20,434","124","24.0%","44,896","135","17.9%","75,972","266","49.0%","31,011","283","37.2%","41,550","879","54.2%","23,322","66","11.7%","64,857","194","24.3%","76,563","244","27.4%","79,559","0","-","-","0","-","-"
"    2 earners","195","89.4%","-","62","100.0%","90,333","101","33.1%","190,302","122","50.2%","120,603","48","24.0%","48,750","138","41.7%","108,929","274","37.8%","250,000+","271","27.3%","250,000+","334","59.6%","248,462","270","41.7%","241,458","33","34.7%","-","307","75.8%","213,098","186","58.1%","-","235","79.4%","250,000+","307","40.7%","-","182","47.8%","77,826","212","45.0%","71,648","148","24.3%","64,821","387","49.1%","63,302","122","34.0%","-","126","18.7%","79,643","60","35.7%","83,214","188","36.9%","113,558","165","30.6%","-","171","33.8%","139,219","284","45.2%","86,034","240","30.8%","73,952","323","45.2%","117,696","214","24.0%","88,646","333","38.3%","85,547","349","29.6%","67,367","284","21.3%","52,222","146","29.3%","61,042","248","36.5%","53,816","285","27.1%","85,268","138","26.7%","54,643","314","41.7%","159,324","139","25.6%","62,583","243","31.9%","75,541","332","20.5%","66,700","482","85.3%","150,429","563","70.6%","124,485","527","59.1%","157,880","0","-","-","0","-","-"
"    3 or more earners","0","0.0%","-","0","0.0%","-","0","0.0%","-","39","16.0%","-","20","10.0%","-","21","6.3%","-","0","0.0%","-","135","13.6%","-","35","6.3%","190,750","16","2.5%","-","0","0.0%","-","13","3.2%","-","30","9.4%","-","0","0.0%","-","10","1.3%","-","36","9.4%","106,667","53","11.3%","137,708","73","12.0%","95,074","18","2.3%","-","58","16.2%","102,031","73","10.8%","77,198","49","29.2%","-","88","17.3%","-","0","0.0%","-","90","17.8%","111,686","39","6.2%","-","76","9.7%","-","15","2.1%","-","312","35.0%","210,271","225","25.9%","-","199","16.9%","122,596","157","11.8%","97,305","59","11.8%","65,573","71","10.4%","72,688","300","28.6%","125,227","178","34.5%","130,357","122","16.2%","233,750","112","20.6%","133,846","165","21.7%","129,583","229","14.1%","84,006","17","3.0%","-","1","0.1%","-","89","10.0%","196,563","0","-","-","0","-","-"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","929","929","63,359","201","201","-","1,395","1,395","27,129","957","957","21,417","677","677","15,033","1,419","1,419","47,147","1,433","1,433","71,489","967","967","15,188","590","590","129,408","817","817","78,911","436","436","-","1,135","1,135","60,492","398","398","18,767","703","703","95,341","1,440","1,440","65,313","330","330","19,931","468","468","-","735","735","21,804","738","738","17,439","442","442","9,549","467","467","11,743","1,336","1,336","61,296","538","538","11,879","607","607","12,028","753","753","42,602","386","386","-","1,284","1,284","23,768","659","659","13,914","637","637","-","416","416","50,238","1,023","1,023","22,825","671","671","31,276","232","232","15,833","455","455","28,843","338","338","-","336","336","24,792","879","879","70,625","300","300","-","326","326","15,714","477","477","22,642","607","607","92,911","1,213","1,213","73,576","1,169","1,169","76,076","0","0","-","5","5","-"
"        Female householder","410","44.1%","38,444","106","52.7%","-","608","43.6%","24,113","633","66.1%","20,087","365","53.9%","12,819","923","65.0%","46,671","770","53.7%","53,750","362","37.4%","-","295","50.0%","125,865","309","37.8%","77,540","202","46.3%","-","545","48.0%","74,402","347","87.2%","-","426","60.6%","99,000","667","46.3%","-","155","47.0%","17,321","317","67.7%","11,867","432","58.8%","22,286","413","56.0%","-","257","58.1%","9,964","184","39.4%","12,444","560","41.9%","75,750","321","59.7%","11,495","501","82.5%","11,981","401","53.3%","30,938","196","50.8%","26,447","693","54.0%","28,946","345","52.4%","-","341","53.5%","-","230","55.3%","28,654","549","53.7%","21,976","354","52.8%","30,662","140","60.3%","-","230","50.5%","-","239","70.7%","-","110","32.7%","17,045","407","46.3%","52,063","181","60.3%","-","185","56.7%","22,583","302","63.3%","17,783","409","67.4%","93,438","556","45.8%","85,357","681","58.3%","74,784","0","-","-","0","0.0%","-"
"            Living alone","194","20.9%","-","91","45.3%","53,438","466","33.4%","19,236","292","30.5%","-","234","34.6%","13,194","762","53.7%","46,590","619","43.2%","38,646","322","33.3%","-","237","40.2%","108,125","249","30.5%","65,958","125","28.7%","-","387","34.1%","68,938","327","82.2%","-","302","43.0%","51,603","508","35.3%","-","96","29.1%","15,714","241","51.5%","11,510","341","46.4%","30,974","397","53.8%","-","224","50.7%","9,643","173","37.0%","12,139","341","25.5%","50,972","321","59.7%","11,495","470","77.4%","11,385","307","40.8%","18,558","104","26.9%","13,382","634","49.4%","-","247","37.5%","15,521","318","49.9%","-","219","52.6%","28,301","475","46.4%","21,186","306","45.6%","28,370","140","60.3%","-","230","50.5%","-","158","46.7%","21,667","100","29.8%","15,909","240","27.3%","14,392","159","53.0%","-","175","53.7%","23,417","260","54.5%","15,294","200","32.9%","78,750","317","26.1%","-","392","33.5%","60,500","0","-","-","0","0.0%","-"
"            Not living alone","216","23.3%","-","15","7.5%","-","142","10.2%","26,550","341","35.6%","20,669","131","19.4%","11,827","161","11.3%","-","151","10.5%","126,094","40","4.1%","-","58","9.8%","177,857","60","7.3%","250,000+","77","17.7%","-","158","13.9%","170,739","20","5.0%","-","124","17.6%","133,900","159","11.0%","132,578","59","17.9%","-","76","16.2%","-","91","12.4%","21,089","16","2.2%","-","33","7.5%","-","11","2.4%","-","219","16.4%","98,580","0","0.0%","-","31","5.1%","-","94","12.5%","74,615","92","23.8%","-","59","4.6%","-","98","14.9%","-","23","3.6%","-","11","2.6%","-","74","7.2%","-","48","7.2%","64,063","0","0.0%","-","0","0.0%","-","81","24.0%","-","10","3.0%","-","167","19.0%","155,531","22","7.3%","-","10","3.1%","-","42","8.8%","-","209","34.4%","127,604","239","19.7%","124,583","289","24.7%","116,793","0","-","-","0","0.0%","-"
"        Male householder","519","55.9%","135,140","95","47.3%","-","787","56.4%","32,188","324","33.9%","23,684","312","46.1%","21,389","496","35.0%","70,000","663","46.3%","82,969","605","62.6%","-","295","50.0%","149,107","508","62.2%","123,125","234","53.7%","99,211","590","52.0%","-","51","12.8%","11,375","277","39.4%","-","773","53.7%","69,360","175","53.0%","24,625","151","32.3%","-","303","41.2%","-","325","44.0%","11,610","185","41.9%","9,155","283","60.6%","11,286","776","58.1%","60,111","217","40.3%","-","106","17.5%","-","352","46.7%","48,548","190","49.2%","-","591","46.0%","23,027","314","47.6%","13,010","296","46.5%","-","186","44.7%","65,268","474","46.3%","28,307","317","47.2%","-","92","39.7%","21,250","225","49.5%","33,783","99","29.3%","-","226","67.3%","40,308","472","53.7%","74,231","119","39.7%","-","141","43.3%","12,473","175","36.7%","-","198","32.6%","-","657","54.2%","59,620","488","41.7%","92,727","0","-","-","5","100.0%","-"
"            Living alone","266","28.6%","-","73","36.3%","-","492","35.3%","32,500","182","19.0%","21,719","239","35.3%","18,309","223","15.7%","61,625","519","36.2%","71,168","547","56.6%","-","222","37.6%","157,857","384","47.0%","-","141","32.3%","-","483","42.6%","-","51","12.8%","11,375","207","29.4%","-","570","39.6%","64,224","133","40.3%","35,179","145","31.0%","-","253","34.4%","14,926","270","36.6%","10,985","145","32.8%","8,142","230","49.3%","10,399","347","26.0%","49,267","184","34.2%","12,566","58","9.6%","-","166","22.0%","-","148","38.3%","-","557","43.4%","-","277","42.0%","11,994","296","46.5%","-","126","30.3%","44,306","377","36.9%","-","269","40.1%","-","68","29.3%","-","225","49.5%","33,783","99","29.3%","-","150","44.6%","-","258","29.4%","31,979","54","18.0%","-","124","38.0%","12,021","78","16.4%","23,750","115","18.9%","60,841","455","37.5%","-","235","20.1%","42,063","0","-","-","5","100.0%","-"
"            Not living alone","253","27.2%","136,250","22","10.9%","-","295","21.1%","-","142","14.8%","-","73","10.8%","47,250","273","19.2%","75,625","144","10.0%","180,882","58","6.0%","153,289","73","12.4%","148,036","124","15.2%","147,984","93","21.3%","250,000+","107","9.4%","250,000+","0","0.0%","-","70","10.0%","-","203","14.1%","121,193","42","12.7%","2,500-","6","1.3%","-","50","6.8%","-","55","7.5%","35,938","40","9.0%","-","53","11.3%","100,260","429","32.1%","103,194","33","6.1%","-","48","7.9%","-","186","24.7%","78,438","42","10.9%","176,447","34","2.6%","-","37","5.6%","-","0","0.0%","-","60","14.4%","-","97","9.5%","-","48","7.2%","-","24","10.3%","-","0","0.0%","-","0","0.0%","-","76","22.6%","-","214","24.3%","176,413","65","21.7%","157,679","17","5.2%","250,000+","97","20.3%","-","83","13.7%","250,000+","202","16.7%","126,250","253","21.6%","140,081","0","-","-","0","0.0%","-"
