Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Edson|Peacevale NHI,Dorchester,2124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Edson|Peacevale NHI (30 Milton),Dorchester,2124,1,0,1,0,0,0,1,0,1,Rental,Private,,
Edward Everett Square,Dorchester,2125,6,0,6,4,0,4,2,0,2,Ownership,Private,,
Egleston Crossing,Roxbury,2119,64,64,0,1,1,0,63,63,0,Rental,Private,,
Eleven West (Lechmore Point),South Boston,2127,50,50,0,44,44,0,6,6,0,Rental,Private,,
Elizabeth Stone House - Washington Westminster,Roxbury,2119,32,32,0,0,0,0,32,32,0,Rental,Private,,
Elm Hill/Seaver St Conversion,Roxbury,2121,18,18,0,15,15,0,3,3,0,Rental,Private,,
Elven Road,Roslindale,2131,8,3,5,0,0,0,8,3,5,Ownership/Rental,Private,,
Emerson Place - Charles River Park,West End,2114,320,320,0,284,284,0,36,36,0,Rental,Private,,
Epps (VUP),Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Erie-Ellington Homes,Dorchester,2121,100,100,0,0,0,0,100,100,0,Rental,Private,,
Esperanza Walnut,Roxbury,2119,42,42,0,0,0,0,42,42,0,Rental,Private,,Y
ETC Associates,South End,2118,71,71,0,0,0,0,71,71,0,Rental,Private,,Y
Eutaw/Meridian,East Boston,2128,1,0,1,0,0,0,1,0,1,Rental,Private,,
Eva White (2-41),South End,2116,102,102,0,0,0,0,102,102,0,Rental,Public,Y,
Factory 63,South Boston Waterfront,2127,62,62,0,51,51,0,11,11,0,Rental,Private,,
Fairfield Properties,Roxbury,2119,30,30,0,0,0,0,30,30,0,Rental,Private,,
Fairmount/Garfield (200-5),Hyde Park,2136,202,202,0,0,0,0,202,202,0,Rental,Public,,
Fan Pier Parcel C,South Boston Waterfront,2110,108,0,108,106,0,106,2,0,2,Ownership,Private,,
Fan Pier Parcel D,South Boston Waterfront,2210,120,0,120,116,0,116,4,0,4,Ownership,Private,,
Faneuil/ N. Beacon (200-4),Brighton,2135,256,256,0,0,0,0,256,256,0,Rental,Public,,
Farnsworth House,Jamaica Plain,2130,76,76,0,1,1,,75,75,0,Rental,Private,Y,Y
Father Walter J Martin Cooperative Homes,South Boston,2127,34,34,0,0,0,0,34,34,0,Rental,Private,,
FDIC Scattered Site Condo Project,Brighton,2135,9,4,5,0,0,0,9,4,5,Ownership/Rental,Private,,
Fensgate Coop,Fenway,2115,46,46,0,0,0,0,46,46,0,Cooperative,Private,,
Fenway Center Phase 1/Buildings 1 & 2,Fenway,2215,316,316,0,289,289,0,27,27,0,Rental,Private,,
Fenway Condominiums,Fenway,2115,55,55,0,33,33,0,22,22,0,Rental,Private,,
Fenway Condos,Fenway,2215,3,0,3,0,0,0,3,0,3,Ownership,Private,,
Fenwick Gardens - Home Again,Dorchester,2125,15,1,14,0,0,0,15,1,14,Ownership/Rental,Private,,
Fernald State School (689-?),Dorchester,2125,8,8,0,0,0,0,8,8,0,Rental,Public,,
Fieldstone Apartments,Dorchester,2124,84,84,0,0,0,0,84,84,0,Rental,Private,,Y
First & First (Phase I & II),South Boston,2127,47,0,47,20,0,20,27,0,27,Ownership,Private,,
Florence Apartments,Roslindale,2131,138,138,0,3,3,0,135,135,0,Rental,Private,,Y
Foley (William J) Apts (2-30),South Boston,2127,96,96,0,0,0,0,96,96,0,Rental,Public,Y,
Forbes Building,Jamaica Plain,2130,147,147,0,0,0,0,147,147,0,Rental,Private,Y,Y
Forbes Street Residences,Jamaica Plain,2130,35,0,35,29,0,29,6,0,6,Ownership,Private,,
Ford (VUP),Mattapan,2126,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Forecaster Building,West End,2114,80,0,80,73,0,73,7,0,7,Ownership,Private,,
Forest Glenn Coop,Jamaica Plain,2130,13,13,0,0,0,0,13,13,0,Cooperative,Private,,
Forest Hills Apts,Jamaica Plain,2130,108,108,0,9,9,0,99,99,0,Rental,Private,Y,Y
Forest Hills Cooperative,Jamaica Plain,2130,87,87,0,0,0,0,87,87,0,Cooperative,Private,Y,Y
Forest|Vine NHI 1,Roxbury,2119,5,2,3,0,0,0,5,2,3,Ownership/Rental,Private,,
Forest|Vine NHI 2,Roxbury,2119,3,0,3,0,0,0,3,0,3,Ownership,Private,,
Fort Hill Gardens,Roxbury,2119,40,40,0,0,0,0,40,40,0,Rental,Private,,Y
Fort Point Place,South Boston Waterfront,2210,117,0,117,103,0,103,14,0,14,Ownership,Private,,
Foster (VUP),Roxbury,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Fountain Hill,Roxbury,2119,46,0,46,26,0,26,20,0,20,Ownership,Private,,
Four Corners/Washington,Dorchester,2121,35,35,0,0,0,0,35,35,0,Rental,Private,,
Fox Hall,Dorchester,2125,15,15,0,0,0,0,15,15,0,Rental,Private,,
"Franklin Field Family (2-89A,90-93)",Dorchester,2124,346,346,0,0,0,0,346,346,0,Rental,Public,Y,
Franklin Field South/Highland Pk Estates,Dorchester,2124,22,4,18,0,0,0,22,4,18,Ownership/Rental,Private,,
Franklin Fld South II - HOME AGAIN,Dorchester,2124,23,1,22,0,0,0,23,1,22,Ownership/Rental,Private,,
Franklin Hill (2-9),Dorchester,2124,365,365,0,0,0,0,365,365,0,Rental,Private,,
Franklin Park Apts,Dorchester,2121,220,220,0,0,0,0,220,220,0,Rental,Private,,Y
Franklin Park I,Roxbury,2121,270,270,0,0,0,0,270,270,0,Rental,Private,,Y
Franklin Park II,Roxbury,2121,136,136,0,0,0,0,136,136,0,Rental,Private,,
Franklin Square House,South End,2118,193,193,0,0,0,0,193,193,0,Rental,Private,Y,Y
Frederick Douglass (2-44A),South End,2118,76,76,0,0,0,0,76,76,0,Rental,Public,Y,
Friend's House,Jamaica Plain,2130,9,9,0,0,0,0,9,9,0,Rental,Private,,
Fulton Court Condominium,North End,2109,67,0,67,61,0,61,6,0,6,Ownership,Private,,
Gallivan Boulevard (200-10),Mattapan,2126,251,251,0,0,0,0,251,251,0,Rental,Public,,
Gardner Crawford Thane,Roxbury,2119,49,49,0,0,0,0,49,49,0,Rental,Private,,Y
Gardner Flats Condominium,Allston,2134,14,0,14,12,0,12,2,0,2,Ownership,Private,,
"GARDNER, CRAWFORD, THANE",Roxbury,2119,64,64,0,0,0,0,64,64,0,Rental,Private,,
Garrison Trotter Phase I - HOME AGAIN,Roxbury,2121,18,2,16,6,0,6,12,2,10,Ownership/Rental,Private,,
Gatehouse 75,Charlestown,2129,99,99,0,87,87,0,12,12,0,Rental,Private,,
Gatehouse Units,South End,2118,14,14,0,0,0,0,14,14,0,Rental,Private,,
Gateway Terrace - Dover Residences,South End,2119,133,0,133,120,0,120,13,0,13,Ownership,Private,,
General Heath Square,Jamaica Plain,2130,47,47,0,0,0,0,47,47,0,Rental,Private,,
General Warren Apts (2-47),Charlestown,2129,96,96,0,0,0,0,96,96,0,Rental,Public,Y,
Geneva Apartments,Dorchester,2121,47,47,0,0,0,0,47,47,0,Rental,Private,,Y
Geneva Ave 202 - Pine Street,Dorchester,2121,11,11,0,1,1,0,10,10,0,Rental,Private,Y,
Geneva Avenue Elderly Housing,Dorchester,2121,45,45,0,0,0,0,45,45,0,Rental,Private,Y,
Georgetowne Housing I,West Roxbury,2136,601,601,0,56,56,0,545,545,0,Rental,Private,,
Georgetowne Housing II,West Roxbury,2136,366,366,0,0,0,0,366,366,0,Rental,Private,,
Gleason Street MIHI Package 2,Dorchester,2121,8,8,0,0,0,0,8,8,0,Rental,Private,,
Glenville Apartments,Allston,2134,117,117,0,0,0,0,117,117,0,Rental,Private,,Y
Glenway|Roxton NHI,Dorchester,2121,6,3,3,0,0,0,6,3,3,Ownership/Rental,Private,,
Goddard House,Jamaica Plain,2115,149,149,0,130,130,0,19,19,0,Rental,Private,,
Gomes (VUP),Dorchester,2124,1,1,0,0,0,0,1,1,0,Rental,Private,,
Goodale Rd. - HOME AGAIN,Mattapan,2126,10,5,5,0,0,0,10,5,5,Ownership/Rental,Private,,
Gordon's Wood,West Roxbury,2132,42,0,42,37,0,37,5,0,5,Ownership,Private,,
Governor Apartments,Brighton,2134,87,87,0,0,0,0,87,87,0,Rental,Private,Y,Y
Grand families,Dorchester,2124,27,27,0,1,1,0,26,26,0,Rental,Private,,
Granite 1B:VBC Apts.-Blue Hill,Roxbury,2121,30,30,0,0,0,0,30,30,0,Rental,Private,,Y
Granite 3-Blue Hill,Roxbury,2121,148,148,0,0,0,0,148,148,0,Rental,Private,,Y
Granite 4B,Roxbury,2121,141,141,0,0,0,0,141,141,0,Rental,Private,,Y
Granite-Dorchester Bay,Dorchester,2125,134,134,0,0,0,0,134,134,0,Rental,Private,,Y
Granite-Fields Corner,Dorchester,2121,67,67,0,0,0,0,67,67,0,Rental,Private,,Y
Granite-La Concha/Nuestra,Roxbury,2119,97,97,0,0,0,0,97,97,0,Rental,Private,,Y
Granite-Lena Park,Dorchester,2121,143,143,0,0,0,0,143,143,0,Rental,Private,,Y
Granite-Quincy-Geneva,Dorchester,2121,94,94,0,0,0,0,94,94,0,Rental,Private,,Y
Granite-Walnut Washington,Roxbury,2119,65,65,0,0,0,0,65,65,0,Rental,Private,,Y
Granite-Washington Columbia I,Dorchester,2121,326,326,0,0,0,0,326,326,0,Rental,Private,,Y
Grant Manor Apartments,Roxbury,2118,179,179,0,0,0,0,179,179,0,Rental,Private,,Y
Green (VUP),Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Green (VUP) CDFI,Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Greenway Apartments,East Boston,2128,27,27,0,0,0,0,27,27,0,Rental,Private,,
Grove Hall Apts,Dorchester,2121,104,104,0,0,0,0,104,104,0,Rental,Private,,Y
Grubow (VUP),Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Guaetta (VUP),East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Habitat Arrowhead Site (REMS Land),Dorchester,2121,19,0,19,0,0,0,19,0,19,Ownership,Private,,
Habitat Balina Pl,Dorchester,2124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
Habitat Bradeen St,Roslindale,2131,2,0,2,0,0,0,2,0,2,Ownership,Private,,
Habitat Fairland St,Roxbury,2119,3,0,3,0,0,0,3,0,3,Ownership,Private,,
Habitat Regent Street,Roxbury,2119,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Habitat Woodbine St,Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Habitat-Woodville Street,Roxbury,2119,4,0,4,0,0,0,4,0,4,Ownership,Private,,
Hale House,Back Bay,2116,56,56,0,0,0,0,56,56,0,Rental,Private,Y,
Haley House,South End,2118,26,26,0,0,0,0,26,26,0,Rental,Private,,Y
Hamilton St Studios/Pine Street,Dorchester,2125,52,52,0,0,0,0,52,52,0,Rental,Private,?,
Hammond Street,Roxbury,2120,14,14,0,0,0,0,14,14,0,Rental,Private,,
Hampton House (2-44B),Roxbury,2118,78,78,0,0,0,0,78,78,0,Rental,Public,Y,
Hano Homes II,Allston,2134,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Haraska (VUP),Dorchester,2122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Harbor Point,Dorchester,2125,350,350,0,0,0,0,350,350,0,Rental,Private,Y,Y
Harborview Condominiums,South Boston,2127,25,0,25,23,0,23,2,0,2,Ownership,Private,,
Hargrove (VUP),Roxbury,2119,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Harrison Commons,South End,2118,196,9,187,186,0,186,10,9,1,Ownership/Rental,Private,,
Harrison-Albany Block Building A,South End,2118,299,299,0,269,269,0,30,30,0,Rental,Private,,
Hartford Manor,Roxbury,2125,18,18,0,0,0,0,18,18,0,Rental,Private,,
Hartwell Terrace,Roxbury,2121,17,17,0,0,0,0,17,17,0,Rental,Private,Y,Y
Harvard Commons Coop,Dorchester,2124,45,45,0,0,0,0,45,45,0,Rental,Private,,
Hassan Apts (2-62),Hyde Park,2136,100,100,0,0,0,0,100,100,0,Rental,Public,Y,
Hazel Parks,Dorchester,2124,48,0,48,0,0,0,48,0,48,Ownership,Private,,
Hearth at 4-Corners,Dorchester,2121,54,54,0,0,0,0,54,54,0,Rental,Private,,
Hearth at Olmsted Green,Dorchester,2124,59,59,0,0,0,0,59,59,0,Rental,Private,,
Hemenway Apartments,Fenway,2115,183,183,0,0,0,0,183,183,0,Rental,Private,Y,Y
Heritage Apts (2-52),East Boston,2128,296,296,0,0,0,0,296,296,0,Rental,Public,Y,Y
Heritage at Cleveland Circle,Brighton,2135,90,90,0,0,0,0,90,90,0,Rental,Private,Y,
Hiawatha|Mattapan Neighborhood Homes,Mattapan,2126,8,2,6,2,1,1,6,1,5,Ownership,Private,,
Highland Homes at Fort Hill - Home Again,Roxbury,2119,18,0,18,4,0,4,14,0,14,Ownership,Private,,
Highland House,Roxbury,2119,14,14,0,0,0,0,14,14,0,Rental,Private,,
Highland Park (2-89B),Roxbury,2119,26,26,0,0,0,0,26,26,0,Rental,Public,,
Highland Park Estates - Home Again,Roxbury,2119,6,1,5,0,0,0,6,1,5,Ownership/Rental,Private,,
Highland Park II (Affordable),Roxbury,2119,11,1,10,3,0,3,8,1,7,Ownership/Rental,Private,,
Hillside Homes at Franklin Park,Jamaica Plain,2130,12,0,12,10,0,10,2,0,2,Ownership,Private,,
Historic South End Apartments,South End,2116,146,146,0,0,0,0,146,146,0,Rental,Private,,Y
Hoffman (VUP) CDFI,Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Holgate Apartments (2-29),Roxbury,2120,81,81,0,1,1,0,80,80,0,Rental,Public,Y,
Holmes (VUP),Dorchester,2121,2,2,0,1,1,0,1,1,0,Rental,Private,,
Home Again (Back of the Hill),Mission Hill,2120,22,6,16,0,0,0,22,6,16,Ownership/Rental,Private,,
Home For Little Wanderers,Mission Hill,2120,20,20,0,0,0,0,20,20,0,Rental,Private,,
Homes at Peter's Park,South End,2118,10,0,10,7,0,7,3,0,3,Ownership,Private,,
Homestead House,Roxbury,2121,6,6,0,1,1,0,5,5,0,Rental,Private,,
Hope House (SPO) (Production),Roxbury,2119,102,102,0,0,0,0,102,102,0,Rental,Private,,
Hope House II,Dorchester,2125,24,24,0,0,0,0,24,24,0,Rental,Private,,
Hopkins-Capen-Mountain-Fuller,Dorchester,2124,9,5,4,0,0,0,9,5,4,Ownership/Rental,Private,,
Horizons I,Mattapan,2126,7,7,0,1,1,0,6,6,0,Rental,Public,,
Howard Dacia Homes,Roxbury,2125,26,26,0,0,0,0,26,26,0,Rental,Private,,
Howard/Woodward/Dean,Roxbury,2125,9,0,9,0,0,0,9,0,9,Ownership,Private,,
Hub 25,Dorchester,2124,278,278,0,242,242,0,36,36,0,Rental,Private,,
Humboldt Avenue Apts,Roxbury,2119,20,20,0,0,0,0,20,20,0,Rental,Private,,
Humphreys St Housing Homeownership,Dorchester,2125,7,0,7,0,0,0,7,0,7,Ownership,Private,,
Humphreys St Housing Rental,Dorchester,2125,11,11,0,0,0,0,11,11,0,Rental,Private,,
Humphreys Street Homeowner,Dorchester,2125,7,0,7,0,0,0,7,0,7,Ownership,Private,,
Hunt (VUP),Dorchester,2121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Huntington House,Fenway,2115,88,88,0,0,0,0,88,88,0,Rental,Public,,
Hurley (VUP),Dorchester,2122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Hyde Square Commons,Jamaica Plain,2130,18,0,18,17,0,17,1,0,1,Ownership,Private,,
Hyde Square Coop,Jamaica Plain,2130,42,42,0,0,0,0,42,42,0,Cooperative,Private,,
Hyde/Jackson Homes,Jamaica Plain,2130,13,2,11,0,0,0,13,2,11,Ownership/Rental,Private,,
Hyde-Blakemore,Roslindale,2131,13,0,13,0,0,0,13,0,13,Ownership,Private,,
IBA SRO Collaborative,South End,2118,11,11,0,0,0,0,11,11,0,Rental,Private,,
Independent Living Project,Hyde Park,2136,6,6,0,0,0,0,6,6,0,Rental,Private,,
Indigo Block (Rental),Dorchester,2125,80,80,0,0,0,0,80,80,0,Rental,Private,,
Infill Apartments,Roxbury,2119,13,13,0,0,0,0,13,13,0,Rental,Private,,
Infill Colaborative,Roxbury,2120,4,0,4,3,0,3,1,0,1,Ownership,Private,,
Infill I,Dorchester,2121,48,0,48,31,0,31,17,0,17,Ownership,Private,,
Infill I (MHFA) ?,Dorchester,2124,8,8,0,0,0,0,8,8,0,Rental,Public,,
Ingram (VUP),Roxbury,2121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Ink Block (Buildings 1-3),South End,2118,315,315,0,274,274,0,41,41,0,Rental,Private,,
Ink Block Sepia (Building 4),South End,2118,77,0,77,69,0,69,8,0,8,Ownership,Private,,
Ink Block Siena (Building 5),South End,2118,76,0,76,74,0,74,2,0,2,Ownership,Private,,
Interfaith Apartments,South End,2118,69,69,0,0,0,0,69,69,0,Rental,Private,,Y
Intervale St. HOME AGAIN,Dorchester,2121,15,2,13,0,0,0,15,2,13,Ownership/Rental,Private,,
Intervale-Fayston,Dorchester,2121,5,3,2,0,0,0,5,3,2,Ownership/Rental,Private,,
Intervale-Magnolia,Dorchester,2121,88,88,0,0,0,0,88,88,0,Rental,Private,,Y
J.J. Carroll Apts (2-37),Brighton,2135,64,64,0,0,0,0,64,64,0,Rental,Public,Y,
J.J. Meade (2-38),Dorchester,2124,40,40,0,1,1,0,39,39,0,Rental,Public,Y,
Jackson (VUP),Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Jackson Commons,Roxbury,2119,37,37,0,0,0,0,37,37,0,Rental,Private,,
Jacob's Place,Dorchester,2121,12,0,12,0,0,0,12,0,12,Ownership,Private,,
Jamaica Plain Apartments,Jamaica Plain,2130,103,103,0,0,0,0,103,103,0,Rental,Private,,Y
Jamaica Plains Coop Serv,Jamaica Plain,2130,62,62,0,0,0,0,62,62,0,Rental,Private,Y,
Jewish Community Housing for the Elderly,Brighton,2135,61,0,61,0,0,0,61,61,0,Rental,Private,Y,
John Boyle O'Reilly School,South Boston,2127,32,32,0,0,0,0,32,32,0,Rental,Private,Y,Y
Johnson (VUP) CDFI,Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
JP Cohousing,Jamaica Plain,2130,30,0,30,27,0,27,3,0,3,Ownership,Private,,
Julia Martin House,Jamaica Plain,2130,56,56,0,0,0,0,56,56,0,Rental,Private,Y,
Julian Phase I - HOME AGAIN,Roxbury,2119,13,2,11,0,0,0,13,2,11,Ownership/Rental,Private,,
KAFANM - Circle of Haitian Women (aka Women's Institute),Dorchester,2124,6,6,0,0,0,0,6,6,0,Rental,Private,,
Kasanof Bakery (Rental & Ownership),Roxbury,2119,64,48,16,0,0,0,64,48,16,Ownership/Rental,Private,,
Keazer (VUP),Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Kelley (VUP),Jamaica Plain,2119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Kenmore Abbey,Fenway,2215,199,199,0,1,1,0,198,198,0,Rental,Private,Y,Y
Ketchen (VUP),Roxbury,2119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Keystone Apartments,Dorchester,2124,223,223,0,1,1,0,222,222,0,Rental,Private,Y,Y
Kimbrough (VUP),Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Kittredge Square,Roxbury,2119,6,0,6,3,0,3,3,0,3,Ownership,Private,,
Laboure,South Boston,2127,18,18,0,0,0,0,18,18,0,Rental,Private,,
Laconia Condominiums,South End,2124,99,0,99,71,0,71,28,0,28,Ownership,Private,,
Lafayette Lofts,Downtown,2111,42,0,42,38,0,38,4,0,4,Ownership,Private,,
Lamartine Homes - Home Again,Jamaica Plain,2130,10,2,8,0,0,0,10,2,8,Ownership/Rental,Private,,
Lancaster House Condominium,South End,2118,4,0,4,0,0,0,4,0,4,Ownership,Private,,
Landfall Apartments,East Boston,2128,111,111,0,16,16,0,95,95,0,Rental,Private,Y,Y
Landfall West Apts,East Boston,2128,59,59,0,0,0,0,59,59,0,Rental,Private,Y,
Langham Court,South End,2118,84,84,0,29,29,0,55,55,0,Rental,Private,,
Laramie (VUP),Hyde Park,2136,2,1,1,1,0,1,1,1,0,Rental,Private,,
Larchmont Residence,Dorchester,2124,8,8,0,0,0,0,8,8,0,Rental,Private,,
Larkin (VUP),Jamaica Plain,2130,1,1,0,0,0,0,1,1,0,Rental,Private,,
Latin Academy Adaptive Re-use,Dorchester,2124,58,58,0,38,38,0,20,20,0,Rental,Private,,
Lawrence (VUP),Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Lawrence Court,South End,2116,12,0,12,9,0,9,3,0,3,Ownership,Private,,
LBB Housing,Dorchester,2126,101,101,0,0,0,0,101,101,0,Rental,Private,,Y
Leila Doe House,Mission Hill,2120,20,20,0,1,1,0,19,19,0,Rental,Private,,
Lenox Street (2-4),Roxbury,2118,285,285,0,0,0,0,285,285,0,Rental,Public,,
Levedo Building,Dorchester,2124,24,24,0,0,0,0,24,24,0,Rental,Private,,
Leventhal House,Brighton,2135,254,254,0,1,1,0,253,253,0,Rental,Private,Y,Y
Lewis Mall,East Boston,2128,47,47,0,0,0,0,47,47,0,Rental,Private,Y,
Lithgow Apts,Dorchester,2124,31,31,0,0,0,0,31,31,0,Rental,Private,,
Little Chestnut Street Condominium,Charlestown,2129,6,0,6,0,0,0,6,0,6,Ownership,Private,,
Lofts at Westinghouse Plaza,Hyde Park,2136,62,16,46,53,16,37,9,0,9,Rental,Private,,
LOGO Apts (73u),Roxbury,2119,91,91,0,0,0,0,91,91,0,Rental,Private,,Y
Long Glen Apartments,Allston,2134,59,59,0,0,0,0,59,59,0,Rental,Public/Private,,
Long Glen Rental II (formerly homeownership),Allston,2134,33,33,0,0,0,0,33,33,0,Rental,Private,,
Longfellow School,Roslindale,2131,44,44,0,0,0,0,44,44,0,Rental,Private,Y,
Longwood Row,Mission Hill,2120,25,25,0,21,21,0,4,4,0,Rental,Private,,
Lorenzo Pitts Portfolio (JPNCD 2018),Roxbury,2119,137,137,0,0,0,0,137,137,0,Rental,Private,,Y
Lowell Square,West End,2114,183,183,0,0,0,0,183,183,0,Rental,Private,,Y
Lower Mills (2-57),Dorchester,2124,178,178,0,0,0,0,178,178,0,Rental,Public,Y,Y
Lower Roxbury Tenant Corp,Roxbury,2120,70,70,0,17,17,0,53,53,0,Rental,Private,,
Lucerne Gardens,Dorchester,2124,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
Lucky Strike Residential Project,Dorchester,2122,22,3,19,19,0,19,3,3,0,Ownership/Rental,Private,,
Luis (VUP),Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Lumen,Charlestown,2129,30,0,30,26,0,26,4,0,4,Ownership,Private,,
Lyman School Apts for the Elderly,East Boston,2128,45,45,0,0,0,0,45,45,0,Rental,Private,Y,Y
M Walsh (VUP),Dorchester,2122,2,2,0,0,0,0,2,2,0,Rental,Private,,
M.E. McCormack (2-23),South Boston,2127,1016,1016,0,0,0,0,1016,1016,0,Rental,Public,,
M.L. King Apartments (2-40),Roxbury,2119,104,104,0,2,2,0,102,102,0,Rental,Public,Y,
M.R. Smith (VUP),Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Madison Melnea Cass Apts,Roxbury,2119,76,76,0,4,4,0,72,72,0,Rental,Public/Private,,
Madison Parcel 10 Bldg C (Belvidere/Dalton East Offsite),Roxbury,2119,30,30,0,9,9,0,21,21,0,Rental,Private,,
Madison Park III,Roxbury,2120,120,120,0,0,0,0,120,120,0,Rental,Private,,Y
Madison Park IV,Roxbury,2119,143,143,0,0,0,0,143,143,0,Rental,Private,,
Main Street Townhouses,Charlestown,2129,26,0,26,16,0,16,10,0,10,Ownership,Private,,
MainStay House,Charlestown,2129,14,14,0,0,0,0,14,14,0,Rental,Private,,
Malone Apts (2-89C),Hyde Park,2136,102,102,0,0,0,0,102,102,0,Rental,Public,Y,
Mandela Homes,Roxbury,2118,276,276,0,0,0,0,276,276,0,Rental,Private,,Y
Manganello (VUP),East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Maple Commons,Roxbury,2119,41,41,0,0,0,0,41,41,0,Rental,Private,,
Marcus Garvey Gardens,Roxbury,2119,161,161,0,0,0,0,161,161,0,Rental,Private,Y,Y
Marksdale Gardens I&II,Roxbury,2121,178,178,0,0,0,0,178,178,0,Cooperative,Private,,Y
Marriro (VUP) CDFI,Roxbury,2121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Martinex-Alamo (VUP),Roxbury,2125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Mary Colbert Apartments,Charlestown,2129,30,30,0,0,0,0,30,30,0,Rental,Private,Y,Y
Mason Place,Downtown,2111,128,128,0,0,0,0,128,128,0,Rental,Private,Y,Y
Mass Pike Towers,Chinatown,2116,200,200,0,0,0,0,200,200,0,Rental,Private,,Y
Mattapan Apartments,Dorchester,2122,183,183,0,0,0,0,183,183,0,Rental,Private,,Y
Mattapan Center for Life,Mattapan,2126,45,45,0,0,0,0,45,45,0,Rental,Private,Y,
Mattapan Heights I AKA: The Foley,Mattapan,2126,176,176,0,24,24,0,152,152,0,Rental,Private,Y,
Mattapan Heights II,Mattapan,2126,83,83,0,0,0,0,83,83,0,Rental,Private,,
Mattapan Heights III & IV,Mattapan,2126,73,73,0,0,0,0,73,73,0,Rental,Private,,
MAVERICK GARDENS I,East Boston,2128,150,150,0,0,0,0,150,150,0,Rental,Private,,
Maverick Landing (2-8),East Boston,2128,396,396,0,91,91,0,305,305,0,Rental,Private,,
McCrohon House - HEARTH (SPO),Jamaica Plain,2130,16,16,0,1,1,0,15,15,0,Rental,Private,,
Mei Wah Village,Chinatown,2111,41,41,0,0,0,0,41,41,0,Rental,Private,Y,
Mendes (VUP),Dorchester,2125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Meranda (VUP),Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Mercantile Building,North End,2109,122,122,0,74,74,0,48,48,0,Rental,Private,,Y
Meridian House,East Boston,2128,12,12,0,0,0,0,12,12,0,Rental,Private,,
Meridian St,East Boston,2128,5,0,5,0,0,0,5,0,5,Ownership,Private,,
Methunion Manor Coop,South End,2116,149,149,0,0,0,0,149,149,0,Rental,Private,,Y
Mezzo Design Lofts,Charlestown,2129,146,0,146,131,0,131,15,0,15,Ownership,Private,,
MHPI Community Apartments,Mission Hill,2120,6,6,0,0,0,0,6,6,0,Rental,Private,,
MHPI II,Jamaica Plain,2130,11,11,0,0,0,0,11,11,0,Rental,Private,,
MHPI III,Jamaica Plain,2130,12,12,0,0,0,0,12,12,0,Rental,Private,,
MHPI IV-A,Jamaica Plain,2130,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
MHPI IV-B,Roxbury,2119,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
MHPI IV-C,Dorchester,2124,12,12,0,0,0,0,12,12,0,Rental,Private,,
MHPI V,Dorchester,2121,16,16,0,0,0,0,16,16,0,Rental,Private,,
MHPI VI,Dorchester,2125,15,15,0,0,0,0,15,15,0,Rental,Private,,
Midway Phase I,South Boston Waterfront,2127,44,0,44,38,0,38,6,0,6,Ownership,Private,,
