App Number,App Name,Status,Application Date,Issued Date,Location Description,Street Number,Street Name,Street Suffix,City,Zip Code,Start Date and Time,End Date and Time
PUB1439379,,Open,2023-02-08 16:46:40+00,,"Roemer Plaza, Campus tours will be departing from this location. Afternoon refreshments (non-alcoholic) will be served. Power being run from Samia Academic Center at 20 Somerset St. 50 people at a time 1000 over the course of the day. ",20,Somerset,ST,Boston,02108,2023-03-05,2023-03-05
PUB1438817,,Closed,2023-02-06 19:45:38+00,2023-07-11 16:12:47+00,,138 to 142,Fulton,ST,Boston,02113,2023-08-17,2023-08-20
PUB1438729,,Open,2023-02-06 17:24:57+00,,City Hall Plz,1,City Hall,PZ,Boston,02114,2023-06-16,2023-06-16
PUB1438727,,Closed,2023-02-06 17:23:15+00,2023-07-26 18:42:42+00,City Hall Plz,1,City Hall,PZ,Boston,02114,2023-09-14,2023-09-14
PUB1438724,,Closed,2023-02-06 17:21:40+00,2023-04-27 19:26:07+00,City Hall Plz,1,City Hall,PZ,Boston,02114,2023-09-07,2023-09-07
PUB1438723,,Closed,2023-02-06 17:20:04+00,2023-04-27 15:00:01+00,City Hall Plz,1,City Hall,PZ,Boston,02114,2023-08-24,2023-08-24
PUB1438548,,Closed,2023-02-05 20:15:21+00,2023-04-05 13:54:09+00,playstead Park - 1 Pierpont rd. same as last year,1,Franklin Park,RD,Jamaica Plain,02121,2023-07-28,2023-07-30
PUB1438491,,Open,2023-02-03 20:22:50+00,,Boston Commons, , , , , ,2024-06-07,2024-06-09
PUB1438144,,Closed,2023-02-02 17:59:02+00,2023-06-09 23:04:36+00,LaGrange St. to V.F.W. Pkwy. to Corey St. to Weld St. to Maple St. to Centre St. to Bellevue St. to Howitt St. to Lagrange St. ,369,Lagrange,ST,West Roxbury,02132,2023-06-04,2023-06-04
PUB1436801,,Open,2023-02-01 17:46:54+00,,n/a,1,City Hall,PZ,Boston,02114,2023-08-10,2023-08-10
PUB1436798,,Closed,2023-02-01 17:45:05+00,2023-04-27 19:21:26+00,N/A,1,City Hall,PZ,Boston,02114,2023-07-20,2023-07-20
PUB1436793,,Closed,2023-02-01 17:42:39+00,,N/A,1,City Hall,PZ,Boston,02114,2023-07-30,2023-07-30
PUB1436568,,Closed,2023-01-31 21:45:02+00,2023-04-14 22:31:36+00,See course map,0,Charles,ST,Boston,02116,2023-10-07,2023-10-07
PUB1436530,,Closed,2023-01-31 20:16:18+00,2023-02-10 19:22:41+00,Harambee Park greenspace. Permit request submited to Parks 1/31 Permit # 9028148,930,Blue Hill,AV,Dorchester,02124,2023-02-24,2023-02-24
PUB1436528,,Closed,2023-01-31 20:06:17+00,2023-03-02 00:08:42+00,3 Laps around the Boston Common Pathways,1B,Charles,ST,Boston/Beacon Hill,02114,2023-06-10,2023-06-10
PUB1436520,,Closed,2023-01-31 19:42:41+00,2023-02-10 17:13:01+00,"Boston Common, Parade Ground (located on the corner of Beacon and Charles Street)",66,Beacon,ST,Boston,02108,2023-02-22,2023-02-22
PUB1436502,,Closed,2023-01-31 18:55:19+00,2023-03-15 22:44:07+00,Main event with speaking program at Rogerson House Assisted Living followed by a walk along the footpath around Jamaica Pond,434,Jamaicaway,,Jamaica Plain,02130,2023-05-21,2023-05-21
PUB1436350,,Closed,2023-01-31 16:02:48+00,2023-03-02 00:05:58+00,Harvard Only,65,Harvard,ST,Allston,02163,2023-05-26,2023-05-28
PUB1436232,,Closed,2023-01-31 01:50:51+00,,White Stadium,450,Walnut,AV,Jamaica Plain,02121,2023-08-24,2023-08-25
PUB1436230,,Closed,2023-01-31 01:30:55+00,2023-06-29 16:49:26+00,Begin at 489-493 Blue Hill Ave and proceed south on Blue Hill Avenue towards Seaver Street. Turn right on Franklin Park Road. Enter the main entrance to the Franklin Park Zoo.  Proceed through the Zoo onto Playstead Road and end at the Franklin Park Playstead.,489 to 493,Blue Hill,AVE,Dorchester,02121,2023-08-19,2023-08-19
PUB1435994,,Closed,2023-01-30 17:26:42+00,2023-04-14 21:40:30+00,Copley Square Park,0,Boylston,ST,Boston,02116,2023-04-14,2023-04-16
PUB1435874,Carry The Load's National Rela,Closed,2023-01-30 14:12:07+00,2023-04-14 21:55:50+00,Route attached., , , , , ,2023-05-06,2023-05-06
PUB1435731,,Closed,2023-01-27 20:56:36+00,2023-04-14 21:55:11+00,"We have two parades - the large one starts at the JP monument and comes down centre street, through hyde square and to Jackson square, merging at centre and lamartine and coming in to stony brook / southwest cooridor park. The second parade comes from Roxbury at the Egleston Sq YMCA, goes down Washington to Atherton, Atherton to Amory, Amory to Lamartine at Centre. ",193 to 195,Lamartine,ST,Jamaica Plain,02130,2023-05-06,2023-05-06
PUB1435043,41st Annual Boston Firefighters 10K Memorial Road,Closed,2023-01-25 15:33:54+00,2023-02-10 20:44:40+00,See attachment,55,Hallet,ST,Dorchester,02124,2022-10-08,2022-10-08
PUB1435039,TEST,Void,2023-01-25 15:26:53+00,,This is a test,55,Hallet,ST,Dorchester,02124,2023-09-02,2023-09-02
PUB1434956,Trans Resistance March and Festival,Closed,2023-01-25 01:21:13+00,2023-03-02 00:06:55+00,Franklin Park Playstead.,1,Pierpont,RD,Jamaica Plain,02121,2023-06-03,2023-06-03
PUB1434418,54th Annual Battle of Bunker Hill Road Race,Closed,2023-01-23 16:18:03+00,2023-02-15 14:56:25+00,"Start in Front of 60 High St, High to Winthrop St, Right onto Warren St to Main St, Right up Bunker Hill St., Right on Lowney/Adams, Left on Common St., Right on Warren, Right on Monument Ave and around the Monument, Right on High St to fish back at 60 High St",60,High,ST,Charlestown,02129,2023-06-11,2023-06-11
PUB1434415,Harpoon St. Patrick's Festival,Closed,2023-01-23 16:08:48+00,2023-01-25 14:10:53+00,,306,Northern,AV,Boston,02210,2023-03-03,2023-03-04
PUB1434359,Seaport Summer Market,Closed,2023-01-23 14:35:24+00,2023-04-14 22:01:57+00,Surface parking lot.,65,Northern,AV,Boston,02210,2023-05-13,2023-06-25
PUB1434217,TEST,Void,2023-01-20 20:32:38+00,,dkfjkdkfcm,65,Northern,AV,Boston,02210,2023-09-01,2023-09-01
PUB1434165,St. Lawrence Procession,Closed,2023-01-20 18:57:52+00,2023-07-26 18:16:57+00,"Dudley Street, Clarence Street, George Street, Shirley Street, and Dudley Street",10,Magazine,ST,Roxbury,02119,2023-08-06,2023-08-06
PUB1434162,: test,Closed,2023-01-20 18:50:20+00,,test,15,Arden,ST,Allston,02134,2023-01-25,2023-01-25
PUB1433931,Our Lady Of Fatima,Closed,2023-01-19 20:50:23+00,2023-01-25 14:11:44+00,"Dudley Street, Clarence St., George St., Clifton St., E. Cottage St., and Dudley Street",10,Magazine,ST,Roxbury,02119,2023-05-14,2023-05-14
PUB1433917,Party in the Park,Closed,2023-01-19 20:14:57+00,2023-04-05 17:48:48+00,Franklin Park,25,Pierpont,RD,Jamaica Plain,02121,2023-05-17,2023-05-17
PUB1433849,Race to Cure Sarcoma,Closed,2023-01-19 17:55:38+00,2023-02-10 19:26:21+00,"Boston Common Parkman Bandstand, Boston Common Perimeter Pathway",115,Boylston,ST,Boston,02116,2023-04-23,2023-04-23
PUB1433733,Polish Fest Boston 2023,Closed,2023-01-19 13:38:36+00,2023-02-15 18:52:54+00,"We would like the use of Boston in front of the club up to the bridge north, and down to the traffic light right before Washburn Street, and we will also be occupying the dead end street next to the club called Power Street. ",82 to 84,Boston,ST,Dorchester,02125,2023-05-21,2023-05-21
PUB1433668,Mattapan Square Winter Placemaking,Closed,2023-01-18 22:55:54+00,2023-02-10 19:25:11+00,"Fairway Street from Blue Hill Avenue to Cummins Highway, with activities in the stretch from 35 Fairway to Blue Hill Avenue.",0,Fairway,ST,Mattapan,02126,2023-03-04,2023-03-04
PUB1433596,Revive Boston,Closed,2023-01-18 19:56:03+00,,Parkman Bandstand ,139,Tremont,ST,Boston,02116,2023-04-28,2023-04-30
PUB1432872,,Closed,2023-01-16 20:17:15+00,2023-01-25 14:12:19+00,"Mattapan Square/Blue Hill Ave to Franklyn Field, Dorchester",53 to 53A,River,ST,Mattapan,02126,2023-05-21,2023-05-21
PUB1432754,,Closed,2023-01-14 19:25:14+00,,Side yard of home ,14,Blanche,ST,Dorchester,02122,2023-02-11,2023-02-11
PUB1432380,The Greg Hill Foundation Jingle All the Way 5K,Closed,2023-01-12 17:30:10+00,2023-03-02 00:11:34+00,The main hub will be in Courtyard Square/Northern Ave. The 5K route itself blends several approved race routes in the area to provide ease of traffic during the race itself. A link to the full route with turn-by-turn directions is available at https://www.plotaroute.com/route/2114439,0,Seaport,BL,Boston,02210,2023-12-09,2023-12-09
PUB1432137,test,Void,2023-01-11 21:23:31+00,,jklljklll,1,City Hall,PZ,Boston,02114,2023-09-23,2023-09-23
PUB1431903,Dominican Festival,Closed,2023-01-11 01:05:16+00,2023-06-29 16:52:51+00,,160,Norfolk,AV,Roxbury,02119,2023-08-20,2023-08-20
PUB1431754,,Closed,2023-01-10 18:01:55+00,2023-02-15 17:30:54+00,"Start at the JP American Legion at 280 South Street, head towards (and through) the Arnold Arboretum, and back over to 280 South Street.",280,South,ST,Jamaica Plain,02130,2023-05-06,2023-05-06
PUB1431151,Battle of Bunker Hill PaRADE,Closed,2023-01-08 20:27:08+00,2023-02-15 15:52:02+00,"Formation area:
National Park area of Navy Yard (Proceed to Vine Street via Fifth Street and Chelsea Street)
Chelsea Street (Fifth Street to Medford Street)
Decatur Street (Vine Street to Samuel Morse Way)
Corey Street (Vine Street to Samuel Morse Way)
Tufts Street (Vine Street to O'Reilly Way)
Moulton Street
Hunter Street
Bunker Hill Street (Vine street to Lowney Way}

Parade Route: Vine Street; Bunker Hill Street; Main Street; Monument Avenue; (right on Monument Square; (right on) Winthrop Street; (left on) Common Street *end)",29 to 35,Vine,ST,Charlestown,02129,2023-06-11,2023-06-11
PUB1431144,,Closed,2023-01-08 14:38:03+00,2023-03-31 18:53:40+00,"Begins on Malcolm X BLVD, cross Washington Street onto Dudley Street, turn left onto Warren Street, slight turn onto Washington Street, crossover Melnea Cass BLVD to continue on Washington Street then enter onto Jim Rice Field.",75,Malcolm X,BL,Mission Hill,02120,2023-07-16,2023-07-16
PUB1431011,,Closed,2023-01-06 16:33:06+00,2023-01-27 15:35:29+00,Boston Commons ,139,Tremont,ST,Boston,02116,2023-06-03,2023-06-03
PUB1430881,,Closed,2023-01-06 03:24:28+00,2023-03-02 00:07:56+00,Lansdowne Street,82A,Lansdowne,ST,Boston,02215,2023-06-10,2023-06-10
PUB1430827,Road to Wellness 5K Walk/R,Closed,2023-01-05 21:12:28+00,2023-06-29 16:51:41+00,"55 Dimock Street is the site for the start and finish. The 5K route through Roxbury includes Washington Street, MLK Boulevard, Walnut Ave., back to Dimock.",55,Dimock,ST,Roxbury,02119,2023-09-09,2023-09-09
PUB1429585,Parkway Little League Opening Day Parad,Closed,2023-01-05 01:51:45+00,2023-01-11 13:47:11+00,"Fallon Field Roslindale, South Street toward Centre Street West Roxbury, Left On Centre, Continue on Centre Street through the Holy Name Rotary, Continue on Centre Street toward Lagrange Street.  Continue on Centre Street to Spring Street.  Spring to Gardener Street.  Right on Gardener to Baker Street.  Right on Baker Street.  Baker to Cutler Road.   Right on Cutler Road to Dow Road.  Right on Dow Road to Parkway Little League Complex",941,South,ST,Roslindale,02131,2023-04-08,2023-04-08
PUB1428118,Skate for a Change,Closed,2022-12-28 06:47:12+00,2023-04-14 15:15:41+00,"1 Reservation RD Boston, MA ",0,Reservation,RD,Hyde Park,02136,2023-03-18,2023-03-18
PUB1424772,Community Holocaust Commemoration,Closed,2022-12-20 15:21:32+00,2023-01-03 16:45:57+00,Great Hall inside Faneuil Hall,30,Merchants,RO,Boston,02109,2023-04-16,2023-04-16
PUB1423766,2023 B.A.A. Half Marathon,Closed,2022-12-15 15:16:48+00,2023-06-29 16:39:42+00,"Starting on Pierpont Road, the route travels out of Franklin Park towards the Arborway. It continues north to the Jamaica Way and Riverway until turning around 4.75 miles into the course. The return turns right onto Pond Ave and continues South until meeting up with the Arborway again at Kelly Circle and entering back into Franklin Park. ",1,Franklin Park,RD,Jamaica Plain,02121,2023-11-12,2023-11-12
PUB1423745,,Closed,2022-12-15 14:32:15+00,2023-03-02 00:09:35+00,"Beginning and ending on Charles Street at the Boston Common. Route heads up Commonwealth Ave, turns around at the BU campus, and back down Commonwealth Ave to the Boston Common. Route Map is attached. ",1,Charles,ST,Boston,02108,2023-06-25,2023-06-25
PUB1423739,,Closed,2022-12-15 14:28:04+00,2023-02-10 19:19:48+00,See Course Map,0,Charles,ST,Boston,02116,2023-06-22,2023-06-22
PUB1423661,,Closed,2022-12-14 22:36:05+00,2023-01-18 14:42:49+00,"The B.A.A. 5K Begins at the crosswalk on Charles Street between the Boston Common and Public Garden. Route goes south along Charles, right on Boylston, right on Arlington, left on Commonwealth Ave, turnaround on Charlesgate W back to Commonwealth Ave, right on Hereford, left on Boylston, left on Charles to the finish. 

This also is inclusive of the B.A.A. Mile and youth relay which follows after the B.A.A. 5k. The course is a 3-loop route starting on Boylston Street, left on Dartmouth, left on Newbury, left on Exeter, and back to Boylston. ",1,Charles,ST,Boston,02108,2023-04-15,2023-04-15
PUB1423654,,Closed,2022-12-14 22:19:56+00,2023-01-18 14:42:16+00,Copley Square,0,Boylston,ST,Boston,02116,2023-04-14,2023-04-16
PUB1423653,,Closed,2022-12-14 22:16:16+00,2023-01-18 14:43:27+00,"The 127th Boston Marathon will take place on April 17th, 2023 at 10AM. The course enters Boston in two locations: First from Newton on Commonwealth Ave, and second from Brookline on Beacon Street. The course includes the following: Commonwealth ave from Newton through Brighton, right on Chestnut Hill ave, left on Beacon St, Commonwealth ave at Kenmore Square, right on Hereford ave, and left on Boylston St. 

The course finishes in front of the Boston Public Library with room for finish amenities the rest of Boylston Street, and a runner reunification area on Stuart Street. ",0,Boylston,ST,Boston,02116,2023-04-17,2023-04-17
PUB1422192,Project Bread Walk for Hunger,Closed,2022-12-08 19:50:00+00,2023-01-18 14:40:59+00,Boston Common Parade Grounds,0,Charles,ST,Boston,02116,2023-05-07,2023-05-07
PUB1421649,Wasabi Fenway Bowl college football game,Closed,2022-12-07 16:51:07+00,2022-12-08 14:51:40+00,"Fenway Park, 4 Jersey Street",4,Jersey,ST,Boston,02215,2022-12-17,2022-12-17
PUB1420631,Boston Art & Music Soul Fest (BAMSFEST),Closed,2022-12-05 03:57:27+00,2023-01-25 14:10:10+00,Playstead Field,1,Franklin Park,RD,Jamaica Plain,02121,2023-06-22,2023-06-26
PUB1420091,Follow the Cod,Closed,2022-12-01 17:55:52+00,2022-12-08 14:53:24+00,"Boston Massacre Site
Corner of State and, Congress St, Boston, MA 02109

Head northeast on Devonshire St/Freedom Trail toward Congress St
89 ft

Sharp left onto Freedom Trail/State St
 Continue to follow State St
253 ft

Turn left onto Washington St
0.1 mi

Turn right onto Freedom Trail/School St
0.1 mi

Continue onto Beacon St
0.1 mi

Turn right onto Bowdoin St
404 ft
5 Mt Vernon St
Boston, MA 02108",206,Washington,ST,Boston,02109,2023-01-11,2023-01-11
PUB1420061,Rhythm,Open,2022-12-01 16:53:47+00,,"Mary Hannon Park, Dudley Street ",18,Harlow,ST,Dorchester,02125,2023-06-04,2023-06-04
PUB1419643,,Closed,2022-11-30 16:30:14+00,2023-01-11 13:48:00+00,The outdoor plaza in front of International Place (one or two tables may be set up in the lobby). Actual stationary cycling will be 1-6pm on Wed 2/15 and then 7am-6pm on Thurs 2/16.,1,International,PL,Boston,02110,2023-02-15,2023-02-16
PUB1418426,Listen To Me! Stories of the Unnoticed.,Closed,2022-11-23 17:20:11+00,2022-11-25 21:36:09+00,"Boston Common, 115 Boylston Street
Locations of the three displays are along the pathway between the Charles Street crosswalk and the Tremont Street crosswalk. ",115,Boylston,ST,Boston,02116,2022-12-06,2022-12-06
PUB1418350,Utopia Seaport,Closed,2022-11-23 15:08:09+00,,Indoors at the Massport Cruise Terminal in the Seaport. ,1,Black Falcon,AV,Boston,02210,2023-03-02,2023-03-05
PUB1418184,Greek Parade,Closed,2022-11-22 20:04:17+00,2023-02-15 18:29:13+00,above,800,Boylston,ST,Boston,02199,2023-04-30,2023-04-30
PUB1418067,South Boston St. Patrick's Day Parade,Closed,2022-11-22 17:18:56+00,2022-12-08 14:52:32+00,"Parade Route: Start Andrew Square up Dorchester Street, right onto Telegraph Street, left around Thomas Park down East 6th Street, Left onto K Street, right onto East 4th Street, left on P street then left onto East Broadway to West Broadway, end at Broadway Station",0,Broadway,,South Boston,02127,2023-03-19,2023-03-19
PUB1417688,Embrace Boston,Closed,2022-11-21 19:14:03+00,2022-11-30 13:28:38+00,"Boston Common, Tremont St. side",131 to 134,Tremont,ST,Boston,02111,2023-01-13,2023-01-13
PUB1416341,Open Your Heart,Closed,2022-11-18 19:46:46+00,,City Hall Plaza:  Plaza Circle and Main Plaza,50,Dunster,RD,Jamaica Plain,02130,2023-06-30,2023-06-30
PUB1416301,Annual African Festival of Boston,Closed,2022-11-18 18:24:14+00,2023-03-02 00:10:26+00,Boston Common Park,139,Tremont,ST,Boston,02116,2023-08-19,2023-08-20
PUB1416259,,Closed,2022-11-18 17:23:38+00,2023-03-17 20:15:18+00,"The race courses start in the Seaport District, run through the Financial District, by City Hall, through the Back Bay and back through the Financial District to the finish on Seaport Blvd in the Seaport District.  ",200,Seaport,BL,Boston,02210,2023-05-28,2023-05-28
PUB1416031,,Closed,2022-11-17 21:19:17+00,2022-11-30 13:27:09+00,Parking Lot located at 73 Brookline Ave,73,Brookline,AV,Boston,02215,2023-01-02,2023-01-02
PUB1415805,th Annual West Roxbury Main Streets Holiday Ma,Closed,2022-11-17 15:37:01+00,2022-11-25 21:35:03+00,Hastings Street Municipal Parking Lot,1895,Centre,ST,West Roxbury,02132,2022-12-02,2022-12-02
PUB1415771,Walter's Run 5K,Closed,2022-11-17 14:40:59+00,2022-11-30 13:27:55+00,"Race starts and finishes on Bellevue ST., West Roxbury and runs through neighborhood streets.  ",15,Bellevue,ST,West Roxbury,02132,2022-12-11,2022-12-11
PUB1415692,Night of Churros & Chocolate / City Tree Lightin,Closed,2022-11-17 01:00:56+00,2022-11-30 13:29:20+00,Lawson Park at the corner of Atherton and Washington St,1,Atherton,ST,Roxbury,02119,2022-12-10,2022-12-10
PUB1415600,Medicine World Aids Day Vigil,Closed,2022-11-16 19:28:01+00,2022-11-25 21:30:06+00,Will walk from City Hall Plaza to Tremont to the BCA at 539 Tremont.,1,City Hall,PZ,Boston,02114,2022-11-30,2022-12-01
PUB1414973,Mayor Wu's LGBTQ+ Pride Month Kick Off,Closed,2022-11-14 21:10:15+00,2023-04-26 20:47:41+00,"We are planning on a large kick off event on June 1st, and will want access to the whole plaza to be dedicated to this event.",1,City Hall,PZ,Boston,02114,2023-06-01,2023-06-01
PUB1414494,,Closed,2022-11-11 14:43:21+00,2022-11-25 21:28:02+00,"The Station, 1400 Boylston Street, Boston MA 02215",1390 to 1420,Boylston,ST,Boston,02215,2022-11-25,2022-12-24
PUB1414472,Assembly,Closed,2022-11-11 13:39:52+00,2022-11-25 21:36:48+00,In front of the Canadian Consulate,3,Copley,PL,Boston,02116,2022-11-18,2022-11-19
PUB1414296,: 2022 Mother's Day Walk for Peace,Closed,2022-11-10 17:01:45+00,2023-03-08 14:43:13+00,"Start at Town Field
Park St
Geneva
Bowdoin
Columbia
Washington 
Bowdoin
Westville 
Geneva 
Park",1530,Dorchester,AV,Dorchester,02122,2023-05-14,2023-05-14
PUB1412784,Winter Walk,Closed,2022-11-09 14:21:49+00,2022-11-30 13:26:18+00,"Copley Plaza, Boylston street to Boston Common, returning on Arlington St, St James, and back to Copley.",560,Boylston,ST,Boston,02116,2023-02-12,2023-02-12
PUB1412048,Worcester Square Annual Tree Lighting,Closed,2022-11-07 15:25:22+00,2022-11-09 14:20:58+00,Worcester Square Park,1,Worcester,SQ,Roxbury,02118,2022-12-04,2022-12-04
PUB1411792,Codman Squre Holiday Market & Craft Fair,Closed,2022-11-04 19:25:52+00,2022-11-25 21:53:39+00,"To Clarify Start and End Dates
12.2.2022 4pm - 8 pm
12.3.2022 8am - 5 pm

The Craft Vendor Market will be happening on private property inside the Codman Square Health Center. ",14 to 16,Epping,ST,Dorchester,02124,2022-12-02,2022-12-03
PUB1411707,New Year's Eve 2023 Harbor Midnight Fireworks,Closed,2022-11-04 18:06:59+00,2022-11-09 13:43:36+00,Stationary event on the harbor with no route.,191,Atlantic,AV,Boston,02110,2022-12-31,2023-01-01
PUB1411603,Veterans Day Ceremon,Open,2022-11-04 15:51:23+00,,Guild Row in roxbury,80,Dudley,ST,Roxbury,02119,2022-11-11,2022-11-11
PUB1411346,Boston/New England for Peter Obi,Closed,2022-11-03 18:59:07+00,2022-11-04 17:54:12+00,Boston Commons through Park st to City Hall Plaza,39,Boylston,ST,Boston,02111,2022-11-12,2022-11-12
PUB1409629,,Closed,2022-11-02 13:17:15+00,2022-11-09 13:44:25+00,,500 to 500,Rutherford,AV,Charlestown,02129,2022-12-03,2022-12-03
PUB1409451,Gran Bazar Boston,Closed,2022-11-01 18:15:42+00,2022-11-04 17:17:17+00,24 Washington Street Boston Ma 02121,24,Washington,ST,Dorchester,02121,2022-12-18,2022-12-18
PUB1409380,Light Up Seaport,Closed,2022-11-01 16:35:17+00,2022-11-09 13:45:01+00,Tree lighting and holiday music on Seaport Common,85,Northern,AV,Boston,02210,2022-12-02,2022-12-02
PUB1408633,St Patrick's Day Road Race,Closed,2022-10-28 18:28:52+00,2023-01-18 14:41:40+00,"Starts and ends at Boys & Girls Club, corner of West 6th and F Streets. Left on Dorchester St, right on E Broadway, turn around at Farragut Statue/Day Blvd, back up E Broadway, continue right non W Broadway, left on E St, left on W 6th St to finish.",230,Sixth,ST,South Boston,02127,2023-03-19,2023-03-19
PUB1408345,Ribbon Cutting,Closed,2022-10-27 19:24:33+00,2022-11-04 17:36:36+00,City Hall Plaza,1,Washington Mall, ,Boston,02108,2022-11-18,2022-11-19
PUB1408099,Baby Naming Ceremony,Closed,2022-10-27 13:52:26+00,,Backyard of property,12,South,ST,Jamaica Plain,02130,2022-11-06,2022-11-06
PUB1407984,Beacon Hill Holiday Stroll,Closed,2022-10-26 23:22:41+00,2022-11-04 17:18:21+00,7 Charles Street (cross St Beacon to 151 Charles St (Charles Circle),7 to 17,Charles,ST,Boston,02108,2022-12-01,2022-12-01
PUB1407560,Anderson Tree Lighting,Closed,2022-10-25 22:07:52+00,2022-11-09 13:43:04+00,"1179 River Street, Hyde Park, MA 02136",1179,River,ST,Hyde Park,02136,2022-11-27,2022-11-27
PUB1407558,Esme Pride Block Party,Closed,2022-10-25 21:58:49+00,2023-02-10 19:29:15+00,St James between Arlington and Berkeley St,10,Saint James,AV,Boston,02116,2023-06-10,2023-06-10
PUB1407554,Jp Pride Block Party,Closed,2022-10-25 21:50:54+00,2023-04-28 19:43:24+00,Between Center St and S. Huntington,8 to 10,Perkins,ST,Jamaica Plain,02130,2023-06-11,2023-06-11
PUB1407550,Back Bay Pride Block Part,Closed,2022-10-25 21:44:34+00,2023-02-10 19:30:48+00,ST JAMES FROM BERKLEY TO ARLINGTON,10,Saint James,AV,Boston,02116,2023-06-11,2023-06-11
PUB1407349,Faneuil Hall Marketplace Tree Lighting,Closed,2022-10-25 15:53:44+00,2022-11-09 13:42:33+00,Faneuil Hall Marketplace - between historic Faneuil Hall and Quincy Market,1,Faneuil Hall,SQ,Boston,02109,2022-11-22,2022-11-22
PUB1407148,First Night,Closed,2022-10-24 22:39:54+00,2022-11-09 13:41:58+00,"Activities concentrated in Copley Square Park, Dartmouth Street closed for pedestrian mall in front of Boston Public Library",560,Boylston,ST,Boston,02116,2022-12-31,2023-01-01
PUB1406985,Lion Dance Parade,Closed,2022-10-24 17:00:50+00,2022-11-30 13:25:30+00,"Chinatown: Harrison Ave; Kneeland, Beach, Essex, Hudson, Oxford and Tyler Streets",1 to 3,Harrison,AV,Boston,02111,2023-01-29,2023-01-29
PUB1406871,Green Wednesday,Closed,2022-10-24 13:57:29+00,2022-11-04 17:35:36+00,Parking lot ,116,Cambridge,ST,Charlestown,02129,2003-11-23,2003-11-23
PUB1406767,Run for the Light,Closed,2022-10-23 13:15:12+00,2023-04-14 22:17:01+00,"Point to point race that starts at Jamaica Pond Boathouse and finishes in Salem, MA at the Fort Pickering Lighthouse. The race format is ""cannonball run"" style. There is no set course. The objective of the race is to get from point A (Jamaica Pond Boathouse) to point B (Fort Pickering Lighthouse) in the fastest way possible by running. The route that each runner takes is at each runners discretion. ",507,Jamaicaway,,Jamaica Plain,02130,2023-06-10,2023-06-10
PUB1406491,,Open,2022-10-21 15:21:12+00,,Walking from 249 Harvard St > Franklin Park Rd > Back to 249 Harvard St.,249 to 253,Harvard,ST,Dorchester,02124,2022-10-22,2022-10-22
PUB1406425,Boston Volvo Thanksgiving Day 5K,Closed,2022-10-21 13:33:56+00,2022-10-26 12:33:13+00,"Start/Finish is at Boston Volvo Village (61 N Beacon St, Boston, MA 02134). The 5K Route is attached. ",61,Beacon,ST,Brighton,02135,2022-11-24,2022-11-24
PUB1406336,36th Annual Monument Square Halloween,Closed,2022-10-21 03:07:12+00,,"Monument Square 
Monument Street",43,Monument,SQ,Charlestown,02129,2022-10-31,2022-10-31
PUB1406216,NHL Winter Classic,Closed,2022-10-20 18:22:46+00,2022-11-09 13:45:38+00,Fenway Park,4,Jersey,ST,Boston,02215,2023-01-02,2023-01-02
PUB1406169,Jouvert Parade,Open,2022-10-20 16:57:00+00,,"From Talbot & Millet St, down Talbot Ave, right on Blue Hill Ave, end at Columbia Road and Blue Hill Ave",155,Talbot,AV,Dorchester,02124,2023-08-26,2023-08-26
PUB1406161,Boston Carnival Parade,Open,2022-10-20 16:50:30+00,,Route from MLK Blvd to Warren St to Blue Hill Ave ending at Peabody Circle @ Franklin Park.,10,Malcolm X,BL,Roxbury,02119,2023-08-26,2023-08-26
PUB1406156,Junior Carnival,Open,2022-10-20 16:44:34+00,,Walk from the corner of Seaver and Walnut Ave to White Stadium. The junior carnival itself is at White Stadium,361 to 363,Walnut,AV,Roxbury,02119,2023-08-20,2023-08-20
PUB1405928,Walk for Epilepsy,Closed,2022-10-19 23:11:00+00,2023-02-27 21:47:40+00,Our walk route will take place on the Suffolk Downs track.,525,William F McClellan,HW,East Boston,02128,2023-05-07,2023-05-07
PUB1405660,celebrating our diversity together event,Closed,2022-10-19 14:31:21+00,2022-10-26 12:32:21+00,147 wordsworth street east bosotn,147,Wordsworth,ST,East Boston,02128,2022-11-06,2022-11-06
PUB1405519,,Closed,2022-10-18 22:10:59+00,2022-11-04 17:54:12+00,185 Columbia Road Dorchester MA 02121,185,Columbia,RD,Dorchester,02121,2022-11-19,2022-11-19
PUB1405314,Trellis Lighting,Closed,2022-10-18 17:06:03+00,2022-10-21 17:08:57+00,"-110 Atlantic Ave. is the correct address for this event 
-Christopher Columbus Park
-Trellis Lighting ",87,COMMERCIAL WHARF, ,Financial District,02110,2022-11-21,2022-11-21
PUB1405049,,Closed,2022-10-17 23:51:07+00,2022-10-19 12:35:11+00,"Grassy area, parking, and boat ramp area.",300,Terminal,ST,Charlestown,02129,2022-10-31,2022-11-13
PUB1405035,SBCA Jingle Bell Run,Closed,2022-10-17 21:35:17+00,2022-10-26 12:31:03+00,"Run/walk departs SBCA heads E on E Broadway, turns left at Pleasure Island/William T Morrisey Blvd, continues on footpath around Pleasure Bay, returns to E Broadway and terminates at the school",866,Broadway,,South Boston,02127,2022-12-03,2022-12-03
PUB1405034,: Holiday Happenings at Suffolk Downs,Closed,2022-10-17 21:33:43+00,2022-10-26 12:31:43+00,525 William F McClellan Highway Boston MA 02128,525,William F McClellan,HW,East Boston,02128,2022-12-03,2022-12-03
