company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_business_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
"HealthDataViz, LLC",Data visualization consulting and training for healthcare and public health organizations,WBE,,,Yes,No,"177 Huntington Avenue, STE 1703 #57026, Boston, MA 02115",Boston,MA,02115,Sandra Lawson,,(617) 653-6608,,sandy@healthdataviz.com,https://healthdataviz.com,Limited Liability Company,No,01/01/2013,11 - 20,"COH - Consultants: Health, Psychological",TA - Training (see also ED),COM - Consultants: Management,541690 - Other Scientific and Technical Consulting Services,541519 - Other Computer Related Services,611420 - Computer Training ,43230000 - Software,80100000 - Management advisory services,86100000 - Vocational training
Heather Buechler Art,Fine art retail; prints; framing; commissions,WBE,SLBE,,No,Yes,"450 Harrison Avenue, #215, Boston, MA 02118",Boston,MA,02118,Heather Buechler,,(617) 388-4576,,heatherbuechlerart@gmail.com,https://www.heatherbuechler.com,Sole Proprietorship,No,01/01/2000,Less than 10,GM - Retail Sales of Art & Framing,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,RT - Retail Sales of Art & Framing,453998 - All Other Miscellaneous Store Retailers (except Tobacco Stores) ,"711510 - Independent Artists, Writers, and Performers ",,82150000 - Professional artists and performers,,
"Hicks Auto Body, Inc.",Auto Body Repair and Refinishing; Auto Detailing and Reconditioning,MBE,SLBE,,Yes,Yes,"10 Talbot Ave, Dorchester, MA 02124-2903",Dorchester,MA,02124-2903,"Willie Hicks, Jr.",Willie Hicks Jr. President,(617) 825-1545,(617) 825-8495,hicksautobody@aol.com,www.hicksautobodyinc.com,Corporation,No,01/01/1970,Less than 10,"AU - Automobile (Sales, Services, Leasing, Rental)",,,"811121 - Automotive Body, Paint, and Interior Repair and Maintenance ",811192 - Car Washes ,811118 - Other Automotive Mechanical and Electrical Repair and Maintenance ,25100000 - Motor vehicles,,
"Highland Development Group, LLC",Real estate development and consulting services,MBE,SLBE,,Yes,Yes,"14 John Eliot Square, Suite 2D, Roxbury, MA 02119",Roxbury,MA,02119,Armindo Goncalves,Principal,(617) 319-0745,,hdgconsultants@gmail.com,,Limited Liability Company (LLC),No,01/01/2020,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",,,531390 - Other Activities Related to Real Estate ,,,80130000 - Real estate services,,
"Hoon Construction Services, Inc.","Commercial painting, floor covering, drywall and related construction and installation services, as permitted under Chapter 156B; supply construction materials, i.e. kitchen/bathroom cabinets, appliances, etc.; interior/exterior design services; small scale real estate development   ",MWBE,SBE,,No,No,"14 Page Terrace, Stoughton, MA 02072",Stoughton,MA,02072,Shelley Hoon,Shelley Hoon,(617) 697-2215,,shoon@hooncs.com,,Corporation,Yes,01/01/2004,Less than 10,PA - Painting and Papering Contractors,"FL - Floor Contractors (Carpet, Tile, Linoleum)",CA - Carpentry,238990 - All Other Specialty Trade Contractors,238330 - Flooring Contractors,236118 - Residential Remodelers ,31260000 - Housings and cabinets and casings,52100000 - Floor coverings,
Hurst Landscape and Site Services Inc.,"Contract landscape construction and site services including plantings, lawns, excavation, drainage, pavers, and walls",MBE,SLBE,,Yes,Yes,"24 Idaho Street, Mattapan, MA 02126",Mattapan,MA,02126,David Hurst,David Hurst - President,(617) 333-7431,(617) 333-7433,dhurst9425@aol.com,hurstlandscapeandsite.com,Corporation,Yes,01/01/1993,11 - 20,LA - Landscaping Contractors,,,561730 - Landscaping Services,238140 - Masonry Contractors ,238910 - Site Preparation Contractors,11110000 - Earth and stone,21100000 - Agricultural and forestry and landscape machinery and equipment,
HyggeMail dba Minuteman Press Natick,"Full Service Design, Print and Promotional Products
Teen Product Line
High quality print products; design services; managing work flow of corporate accounts   ",MWBE,SBE,,Yes,Yes,"10 Huron Drive, Natick, MA 01760",Natick,MA,01760,Pramitha Chowrira,,(508) 655-0875,(508) 653-1185,info@mpnatick.com,https://mpnatick.com/,Limited Liability Company,No,01/01/2017,Less than 10,PT - Printers,DI - Direct Mail Services,AL - Apparel,323111 - Commercial Printing (except Screen and Books) ,541860 - Direct Mail Advertising,541870 - Advertising Material Distribution Services,55100000 - Printed media,80140000 - Marketing and distribution,82121500 - Printing Services
Hypnalgesics LLC dba Comfort Talk,Communication and interpersonal skill training; training of healthcare professionals in better managing patients' and their own stress   ,WBE,SBE,,No,No,"157 Ivy Street, Brookline, MA 02446",Brookline,MA,02446,Elvira Lang,Dr. Elvira Lang,(978) 404-9724,(617) 734-9087,drevlang@gmail.com,,Limited Liability Company (LLC),No,01/01/2006,Less than 10,COG - Consultants: Human Resources,"COH - Consultants: Health, Psychological",TA - Training (see also ED),611430 - Professional and Management Development Training ,611710 - Educational Support Services,,42300000 - Medical training and education supplies,42200000 - Medical diagnostic imaging and nuclear medicine products,85140000 - Alternative and holistic medicine
ImEx Cargo,"Transportation, logistics, air freight, trucking   ",WBE,SBE,,No,Yes,"1R Newbury Street, Peabody, MA, USA, Suite 205H, Peabody MA, MA 01960",Peabody MA,MA,01960,Michelle DeFronzo,,(617) 718-4639,,michelle@imexcargo.com,www.imexcargo.com,Limited Liability Company,No,01/01/2000,Less than 10,COU - Consultants: Transportation,TK - Trucking (Waste Disposal Commodities Transport),DI - Direct Mail Services,481112 - Scheduled Freight Air Transportation ,"484110 - General Freight Trucking, Local ","484121 - General Freight Trucking, Long-Distance, Truckload ",78100000 - Mail and cargo transport,78140000 - Transport services,
In Order Business Development Solutions,"Diversity, Equity and Inclusion Consultant providing diversity strategies, tracking, monitoring and management, MBE/WBE/VBE/DBE outreach, and community relations.  Technical Assistance Provider, providing diverse business certification services and contractor pre-qualifications.",MWBE,SLBE,,No,Yes,"P.O. Box 190573, Roxbury, MA 02119",Roxbury,MA,02119,Shelley Webster,"Shelley Webster, Owner",(617) 719-7869,,shelley@inorderbusiness.com,www.inorderbusiness.com,Sole Proprietorship,No,01/01/2014,Less than 10,COM - Consultants: Management,TA - Training (see also ED),,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,,80100000 - Management advisory services,,
"Innovee Consulting, LLC",Public asset management; customer service management; IT staff augmentation,MWBE,SBE,,No,Yes,"1345 Avenue of the Americas FL 2, New York, NY 10105",New York,NY,10105,Sachin Garg,"Megha Jain Garg, President",(646) 531-4899,,govt@innovee.com,https://www.innovee.com,Limited Liability Company (LLC),No,05/21/2014,21 - 40,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COS - Consultants: Systems Analysis,COT - Consultants: Telecommunications,541512 - Computer Systems Design Services ,541511 - Custom Computer Programming Services ,541611 - Administrative Management and General Management Consulting Services ,81110000 - Computer services,43230000 - Software,
"Interstate Rental Service, Inc.",Rental equipments and services for special events   ,,SLBE,,No,Yes,"384 Amory Street, Boston, MA 2130",Boston,MA,2130,Laura Albert,,(617) 522-6200,(617) 522-0136,laura@interstaterental.com,,Corporation,No,01/01/1935,Less than 10,EP - Equiment Rental (Heavy Construction),,,,532310 - General Rental Centers,,,,
"J. Thibert Architectural Woodwork Installation, Inc.",Finish carpentry,WBE,,,Yes,No,"14 Amherst Road, Wilmington, MA 01887",Wilmington,MA,01887,Lucia Thibert,"Lucia Thibert, President",(617) 359-8330,,luciafthibert@icloud.com,,Corporation,Yes,01/01/2016,Less than 10,CA - Carpentry,CA - Carpentry,CA - Carpentry,238350 - Finish Carpentry Contractors,,,72110000 - Residential building construction services,,
"Jackson Glass, Inc."," Mirror and Plate Glass Installation; Storefront Installation, Residential Commercial Glass",WBE,,,Yes,No,"511 CUMMINS HWY, Roslindale, MA 2131",Roslindale,MA,2131,Sandra DiMino,"Barbara Graffeo, Owner",(617) 522-0525,(617) 522-5506,lili@jacksonglassinc.net,,Corporation,Yes,01/01/1947,21 - 40,GG - Glass/Glazing Contractors,,,327215 - Glass Product Manufacturing Made of Purchased Glass ,,,30170000 - Doors and windows and glass,,
JC & P Creative,Multicultural marketing/advertising; branding; web development; audio-visual; editorial design   ,MBE,SLBE,,No,Yes,"8 Faneuil Hall Market Place, 3rd Floor, Boston, MA 2109",Boston,MA,2109,Javier Parra,,(617) 824-0028,(617) 391-3016,,,Sole Proprietorship,No,01/01/2012,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541613 - Marketing Consulting Services ,541810 - Advertising Agencies,541890 - Other Services Related to Advertising ,,,
JC Power Connect,"Energy consulting (solar 3rd party rate reduction, non-profit funding), financial restorative services, essential services for businesses ",MWBE,SLBE,,No,No,"398 Columbus Avenue, Ste 284, Boston, MA 02116",Boston,MA,02116,Judy Cazeau,,(617) 669-2073,,jcpowerconnect@gmail.com,,Sole Proprietorship,No,01/01/2019,Less than 10,CON - Consultants: Environmental,"RE - Real Estate (Development, Management, Sales and Appraisals)",,541690 - Other Scientific and Technical Consulting Services,221118 - Other Electric Power Generation ,221122 - Electric Power Distribution ,83100000 - Utilities,80130000 - Real estate services,
"JEWN Enterprise, Inc.",Interior and exterior painting contractor,MWBE,SLBE,,Yes,Yes,"749 VFW Parkway, West Roxbury, MA 02132",West Roxbury,MA,02132,Nicole Wiggins,,(617) 504-5090,,nwiggins@jewninc.com,www.jewninc.com,Corporation,Yes,01/01/2019,Less than 10,PA - Painting and Papering Contractors,,,238320 - Painting and Wall Covering Contractors,,,31210000 - Paints and primers and finishes,,
"JM Goldson, LLC",Community planning,WBE,,,No,Yes,"217 Beech Street, Roslindale, MA 02131",Roslindale,MA,02131,Jennifer Goldson,Jennifer Goldson,(617) 655-2939,,jennifer@jmgoldson.com,www.jmgoldson.com,Sole Proprietorship,No,01/01/2006,Less than 10,COB - Consultants: City Planning,,,925120 - Administration of Urban Planning and Community and Rural Development ,541618 - Other Management Consulting Services ,,43210000 - Computer Equipment and Accessories,44110000 - Office and desk accessories,44120000 - Office supplies
"John B. Cruz Construction Company, Inc.","General contractors specializing in construction management, estimating and carpentry   ",MBE,SLBE,,Yes,Yes,"One John Elliot Square, Roxbury, MA 2119",Roxbury,MA,2119,"John Cruz, III","John B. Cruz, III",(617) 445-6901,(617) 442-2496,info@cruzcompanies.com,,Corporation,Yes,01/01/1970,21 - 40,GC - General Contractors,CN - Construction Management: Small Commercial Projects,CE - Construction Estimating,236115 - New Single-Family Housing Construction (except For-Sale Builders) ,236116 - New Multifamily Housing Construction (except For-Sale Builders) ,237210 - Land Subdivision ,72110000 - Residential building construction services,72120000 - Nonresidential building construction services,
"John Leonard Employment Services, Inc.","Temporary and Direct-Hire Staffing Specializing in Administrative, Clerical and Accounting Personnel Typists, and Other Skilled Personnel",WBE,SLBE,,Yes,Yes,"75 Federal Street, Suite 1120, Boston, MA 02110",Boston,MA,02110,Linda Poldoian,Linda Poldoian,(617) 423-6800,(617) 423-3943,jleonard@jleonard.com,johnleonard.com,Corporation,No,01/01/1969,11 - 20,"EM - Employement (see also OS, TR)","OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",COG - Consultants: Human Resources,561311 - Employment Placement Agencies ,561320 - Temporary Help Services,541214 - Payroll Services ,80110000 - Human resources services,,
Enid Pope,Consulting; marketing and communications; training; administrative and general management; and creative production and advertising   ,MWBE,,,Yes,No,"100 Arlington Street, Unit 10J, Boston, MA 2116",Boston,MA,2116,Enid Pope,"Enid Pope, Owner",(703) 862-5856,,madampope312@gmail.com,,Sole Proprietorship,No,01/01/2016,Less than 10,BU - Business Management Consultants,COP - Consultants: Public Relations,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,541611 - Administrative Management and General Management Consulting Services ,541613 - Marketing Consulting Services ,541810 - Advertising Agencies,80100000 - Management advisory services,,
K & K Cleaning,Residential and Commercial Cleaning Company   ,MWBE,SLBE,,No,Yes,"P.O. Box 240121, Washington Street, Dorchester, MA 02124",Dorchester,MA,02124,Kimberlin Broglin,Kimberlin Broglin,(617) 704-2719,,kimberlin617@gmail.com,,Sole Proprietorship,No,01/01/2016,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",,561720 - Janitorial Services ,,,47130000 - Cleaning and janitorial supplies,76110000 - Cleaning and janitorial services,
Kambrian Corporation,IT and telecommunications products and services,MWBE,,,Yes,No,"2707 East Valley Boulevard, Suite 312, West Covina, CA 91792",West Covina,CA,91792,Cathy Hsieh,,(626) 964-4445,(626) 964-4447,team2@kambrian.com,https://www.kambrian.com/,Corporation,No,01/01/2009,21 - 40,COT - Consultants: Telecommunications,"CP - Computer (Hardware, Software, Design, Data Processing (see also COS, COT)",COS - Consultants: Systems Analysis,541511 - Custom Computer Programming Services ,541512 - Computer Systems Design Services ,541519 - Other Computer Related Services,43230000 - Software,43220000 - Data Voice or Multimedia Network Equipment or Platforms and Accessories,43210000 - Computer Equipment and Accessories
"Karp Strategies, LLC",A community-economic development and urban planning strategy consulting firm,WBE,,,No,No,"833 President Street, Apt. 3, Brooklyn, NY 11215",Brooklyn,NY,11215,Rebecca Karp,,(718) 490-1431,,rebecca@karpstrategies.com,,Limited Liability Company,No,01/01/2015,21 - 40,COB - Consultants: City Planning,EC - Economic Development,COM - Consultants: Management,"541990 - All Other Professional, Scientific, and Technical Services",,,80100000 - Management advisory services,,
Kennedy & Violich Architecture,Architectural Design Services   ,MBE,SLBE,,Yes,No,"10 Farnham Street, Boston, MA 02119",Boston,MA,02119,Juan Violich,Mr. Juan Violich,(617) 442-0800,,fviolich@kvarch.net,,Sole Proprietorship,No,01/01/1988,Less than 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",,541310 - Architectural Services,541410 - Interior Design Services,,30150000 - Exterior finishing materials,30160000 - Interior finishing materials,
"Keville Enterprises, Inc.",Construction Management; Construction Inspection Reporting; Purchasing Agent,WBE,,,Yes,Yes,"475 School Street, Suite 11, Marshfield, MA 02050",Marshfield,MA,02050,Christine Keville,"Christine Keville, President & CEO",(781) 837-3884,(781) 837-4091,ckeville@keville.com,www.keville.com,Corporation,No,01/01/1991,Greater than 100,CN - Construction Management: Small Commercial Projects,"AS - Architectural Support Services, Surveying","COA - Consultants: Architecture, Engineering",236220 - Commercial and Institutional Building Construction ,237990 - Other Heavy and Civil Engineering Construction ,"541990 - All Other Professional, Scientific, and Technical Services",30120000 - Roads and landscape,,
"Kripper Architecture Studio, Inc.",Architecture and interior design services   ,MBE,SLBE,,No,No,"36 Bromfield Street, Suite 501, Boston, MA 2108",Boston,MA,2108,Amir Kripper,"Amir Kripper, Owner",(617) 993-6093,,amirk@kripperstudio.com,,Corporation,No,01/01/2012,Less than 10,AE - Architects/Engineers,IT - Interior Deisgn Services,,541310 - Architectural Services,,,30160000 - Interior finishing materials,,
"L & H Plumbing Company, Inc.",Plumbing and minor heating; backflow prevention services and testing  ,MBE,SLBE,,Yes,No,"90  West Cottage Street, Boston, MA 2125",Boston,MA,2125,Joseph Hurley,,(617) 445-2937,,,,Corporation,Yes,01/01/1990,Less than 10,PB - Plumbing,"ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",COD - Consultants: Design,,,,,,
"L. Martinez Construction, Inc.",Demolition and final clean up   ,MBE,,,No,Yes,"237 Bennington Street, East Boston, MA 2128",East Boston,MA,2128,Leonel Martinez,,(617) 331-7270,(617) 507-0289,,,Corporation,Yes,01/01/2002,Less than 10,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",,,238910 - Site Preparation Contractors,,,,,
"La Alianza Hispana, Inc.",Social services:  mental health; advocacy; counseling; adult day health services; youth after school programs; ESOL workforce development and community outreach diversified array of needed services to the Hispanic community in Boston ,MBE,,,Yes,Yes,"1000 Massachusetts Avenue, Suite 101, Boston, MA 02118",Boston,MA,02118,Marisol Amaya-Aluigi,Executive Director,(617) 427-7175,(617) 442-2259,vpera@laalianza.org,www.laalianza.org,Corporation,No,01/01/1970,21 - 40,"ED - Education (see also OS, TA)",COG - Consultants: Human Resources,CC - Childcare,624120 - Services for the Elderly and Persons with Disabilities ,624110 - Child and Youth Services ,,80110000 - Human resources services,93140000 - Community and social services,83120000 - Information services
Las Palmas Restaurant,"Takeout, dine in, online ordering and catering services of Dominican Food",MWBE,SLBE,,No,Yes,"4337A Washington Street, Roslindale, MA 02131",Roslindale,MA,02131,Seila Green,,(617) 869-3865,,laspalmasrest@icloud.com,www.LasPalmasKitchen.com,Corporation,No,01/01/2016,Less than 10,CT - Catering,,,722320 - Caterers,,,90100000 - Restaurants and catering,,
"Laufer and Associates, Inc.",Temporary and permanent staffing agency,WBE,,,Yes,Yes,"109 State Street, Boston, MA 2109",Boston,MA,2109,Julie Laufer,,(617) 367-2800,,kszottfried@lauferandassociates.net,,Sole Proprietorship,No,01/01/2001,Less than 10,"EM - Employement (see also OS, TR)",,,561311 - Employment Placement Agencies ,561320 - Temporary Help Services,,80110000 - Human resources services,,
Law Offices of Jennifer R. DeFeo,Professional Legal Services   ,WBE,SLBE,,No,Yes,"10 Bremen Street, Second Floor, East Boston, MA 2128",East Boston,MA,2128,Jennifer DeFeo,,(617) 561-0151,,,,Sole Proprietorship,No,01/01/1995,Less than 10,AT - Attorneys,,,,,,,,
Law Offices of John R. Shek,Legal services   in court,MBE,SLBE,,Yes,No,"141 Tremont Street, 11th Floor, Boston, MA 02111",Boston,MA,02111,John Shek,John Shek,(617) 723-1223,(617) 742-5734,noemailaddresslisted@gmail.com,,Sole Proprietorship,No,01/01/1988,Less than 10,AT - Attorneys,,,541110 - Offices of Lawyers,,,46150000 - Law enforcement,,
"LGAPPAREL, LLC dba LMI Textiles","Medical supplies, janitorial and sanitation supplies; Promotional products; Apparel manufacturer including custom hats from scratch, Screen printing and Embroidery, Personal Protective Equipment - medical (surgical masks, n95 masks, gowns, nitrile gloves, face shields) Industrial - hi visibility safety vests, fire resistant safety vests, hard hats, boots, tactical gear, uniforms, etc. Military uniforms and Police uniforms",MBE,,,No,Yes,"12 Breck Street, Suite 2, Milton, MA 02186",Milton,MA,02186,Legrand Lindor,Legrand G. Lindor CEO/Manager,(855) 564-8398,,legrand@lmitextiles.com,www.lmitextiles.com,Limited Liability Company (LLC),No,01/01/2007,Less than 10,AL - Apparel,SU - Suppliers,"JA - Janitorial Services/Supplies (see also MA, RS)","423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",812320 - Drycleaning and Laundry Services (except Coin-Operated) ,453210 - Office Supplies and Stationery Stores ,42170000 - Emergency and field medical services products,47130000 - Cleaning and janitorial supplies,42140000 - Patient care and treatment products and supplies
"Linea 5, Inc.",Architecture and engineering services   ,WBE,,,Yes,Yes,"22 Batterymarch Street, 4th Floor, Boston, MA 02109",Boston,MA,02109,Jennifer Cardettino,,(617) 723-8808,(617) 723-8898,jcardettino@linea5.com,www.linea5.com,Corporation,No,01/01/1985,21 - 40,AE - Architects/Engineers,,,541310 - Architectural Services,541330 - Engineering Services,,81100000 - Professional engineering services,,
"Logan Communications International, Inc.","Provide business and independent professionoals with the resources, support and tools needed for sustained success and growth   ",,SLBE,,No,No,"P.O. Box 549, East Boston, MA 2128",East Boston,MA,2128,Hajar Abdurrahim-Logan,,(617) 569-8720,,,,Corporation,No,01/01/1999,Less than 10,"OS - Office Services (Clerical Support, Employment, Court Reporting, Typing, etc., see also EM)",MK - Marketing,,561210 - Facilities Support Services,,,,,
"Longfellow Investment Management Company, LLC",Portfolio management,WBE,,,No,No,"125 High Street, Suite 832, Boston, MA 02110",Boston,MA,02110,Barbara McKenna,,(617) 695-3504,,accounting@longfellowim.com,,Limited Liability Company,No,01/01/1986,41 - 100,BA - Banking/Financial Services,,,523920 - Portfolio Management ,523930 - Investment Advice ,,84120000 - Banking and investment,,
Lowe Plumbing & Heating,Plumbing and heating contractors   ,MBE,SLBE,,No,Yes,"90 West Cottage Street, Dorchester, MA 2125",Dorchester,MA,2125,Eugene Lowe,,(617) 541-3446,,,,Corporation,No,01/01/1996,Less than 10,PB - Plumbing,,,,,,,,
Luminous LLC,Insight and strategy consulting firm specializing in helping governments improve health outcomes,WBE,SLBE,,Yes,Yes,"85 Seaport Boulevard, PH 1707, Boston, MA 2210",Boston,MA,2210,Noel Theodosiou,,(781) 524-7204,,hello@luminouseffect.com,https://www.luminouseffect.com/,Limited Liability Company,No,01/01/2014,Less than 10,COM - Consultants: Management,COP - Consultants: Public Relations,COS - Consultants: Systems Analysis,541613 - Marketing Consulting Services ,541910 - Marketing Research and Public Opinion Polling,611430 - Professional and Management Development Training ,80100000 - Management advisory services,,
LXC Engineering Group LLC,"Mechanical, Electrical, Plumbing, Fire Alarm, Fire Protection, Security systems (MEP/FA/FP/CCTV) Engineers, PV Solar Engineers, BAS Engineers, Renewable Energy Engineers, commissioning, building analysis & modeling, energy studies, energy auditing, and construction management. ",MBE,SBE,,Yes,No,"319 Lynnway, Suite 303B, Lynn, MA 01901",Lynn,MA,01901,Louis Chrispin,Schmid Belleus,(617) 273-5635,(857) 366-6389,lchrispin@lxceg.com,www.lxceg.com,Limited Liability Company,No,01/01/2018,Less than 10,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",COD - Consultants: Design,541310 - Architectural Services,541330 - Engineering Services,541350 - Building Inspection Services,81100000 - Professional engineering services,39130000 - Electrical wire management devices and accessories and supplies,23210000 - Electronic manufacturing machinery and equipment and accessories
"M & A Architectural Preservation, Inc.","Finish carpentry contractor:  restoration, windows and doors   ",WBE,SBE,,Yes,No,"433 Market Street, Lawrence, MA 01843",Lawrence,MA,01843,Susan Muckle,Susan G Muckle,(978) 683-0880,(978) 683-8370,suemuckle@archpres.com,www.archpres.com,Corporation,Yes,01/01/1991,11 - 20,CA - Carpentry,CN - Construction Management: Small Commercial Projects,GC - General Contractors,236220 - Commercial and Institutional Building Construction ,238350 - Finish Carpentry Contractors,238150 - Glass and Glazing Contractors ,72150000 - Specialized trade construction and maintenance services,,
"M & A Supplier Diversity Consultants, LLC","Consulting; small business training and workshops; business development and technical assistance; assistance with State and Federal certifications and renewals; grant writing; supplier diversity plans, bid consulting services, and vendor management assessment.",MWBE,SBE,,Yes,No,"197 Winthrop Street, Taunton, MA 02780",Taunton,MA,02780,Maria Gonzalez,,(508) 298-2251,(857) 232-1247,masupplierdiversityconsultants@gmail.com,https://supplierdiversityconsultants.com,Limited Liability Company,No,01/01/2019,Less than 10,COM - Consultants: Management,TA - Training (see also ED),,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,611430 - Professional and Management Development Training ,86130000 - Specialized educational services,80100000 - Management advisory services,
"M.E. O'Brien and Sons, Inc.","Furnish site amenities, playground equipment, safety surfacing, water play, shelters, bus shelters, and signage   ",WBE,,,Yes,Yes,"17 Trotter Drive, Medway, MA 02053",Medway,MA,02053,Meghan O'Brien,Meghan O'Brien,(508) 359-4200,(508) 533-6342,erin_o'brien@obrienandsons.com,obrienandsons.com,Corporation,Yes,01/01/1954,11 - 20,RC - Recreational,,,423910 - Sporting and Recreational Goods and Supplies Merchant Wholesalers ,,,49240000 - Recreation and playground and swimming and spa equipment and supplies,,
"Mabbett & Associates, Inc.",Environmental Engineering and Planning; Site Assessment and Remediation; Occupational Safety and Health; Environmental Compliance and Management; Environmental Health and Safety Training,,SBE,SDVOB,No,No,"105 Central Street, Suite 4100, Stoneham, MA 02180",Stoneham,MA,02180,Arthur Mabbett,"Arthur N. Mabbett, Chairman and CEO",(781) 275-6050,(781) 275-2557,mabbett@mabbett.com,www.mabbett.com,Corporation,No,01/01/1980,41 - 100,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",CON - Consultants: Environmental,TA - Training (see also ED),562910 - Remediation Services ,541330 - Engineering Services,541620 - Environmental Consulting Services,77100000 - Environmental management,,
"Madhouse Motors, LLC",General motorcycle repairs and maintenance,WBE,SLBE,,No,No,"24 Blue Hill Avenue, Boston, MA 2119",Boston,MA,2119,Julia Shia,Julia Shia,(617) 686-0740,,madhousemotors@gmail.com,,Limited Liability Company (LLC),No,01/01/2012,Less than 10,"AU - Automobile (Sales, Services, Leasing, Rental)",,,811111 - General Automotive Repair ,811198 - All Other Automotive Repair and Maintenance ,,25100000 - Motor vehicles,,
Marilyn Humphries Photography,"Editorial and event photography; annual reports, portrait photography; new, stock and location photography   ",WBE,SBE,,Yes,Yes,"6 Brimbal Hills Drive, Beverly, MA 01915",Beverly,MA,01915,Marilyn Humphries,Ms. Marilyn Humphries,(978) 921-1633,(978) 921-5935,mhumphries@nii.net,,Partnership,No,01/01/1988,Less than 10,PG - Photography,,,"541921 - Photography Studios, Portrait ",541922 - Commercial Photography ,,82130000 - Photographic services,,
"Mas TV/El Planeta, LLC",Newspaper and content provider,MBE,,,Yes,Yes,"399 Boylston Street, 6th Floor, Boston, MA 02116",Boston,MA,02116,Javier Marin Sore,Mr. Javier Marin Sore,(617) 281-5435,,javier@elplaneta.com,www.elplaneta.com,Limited Liability Company (LLC),No,01/01/2012,11 - 20,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,511110 - Newspaper Publishers ,,,55100000 - Printed media,80140000 - Marketing and distribution,43200000 - Components for information technology or broadcasting or telecommunications
Mass Janitorial Supplies,Distributor of janitorial supplies.,MWBE,,,Yes,No,"46 Saybrook Street, Brighton, MA 2135",Brighton,MA,2135,Tanya Violette,Ms. Tanya Violette,(617) 680-8180,(617) 254-0144,massjanitorial@gmail.com,,Corporation,No,01/01/2012,Less than 10,SU - Suppliers,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",424130 - Industrial and Personal Service Paper Merchant Wholesalers ,424690 - Other Chemical and Allied Products Merchant Wholesalers ,424990 - Other Miscellaneous Nondurable Goods Merchant Wholesalers ,47130000 - Cleaning and janitorial supplies,47120000 - Janitorial equipment,14110000 - Paper products
"Mass Remodeling and Painting, Inc.","Painting, repairs and bathroom remodeling commercial and residential  ",MBE,SLBE,,Yes,Yes,"31 Norfolk Street, Boston, MA 2124",Boston,MA,2124,Brenda Marrero,"Elvis Nunez, Owner",(617) 517-5445,(617) 517-5445,massremodeling@gmail.com,www.massremodelingandpainting.com,Corporation,Yes,01/01/2007,Less than 10,PA - Painting and Papering Contractors,GC - General Contractors,,238320 - Painting and Wall Covering Contractors,236220 - Commercial and Institutional Building Construction ,,72120000 - Nonresidential building construction services,,
"Maverick Media, LLC",Advertising:  outside advertising   ,WBE,SBE,,Yes,Yes,"7 Howe Street, Watertown, MA 02472",Watertown,MA,02472,Valerie Barsom,"Valarie Barsom, President",(617) 407-6344,,vbarsom1960@gmail.com,,Limited Liability Company,No,01/01/2016,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541850 - Outdoor Advertising,,,82100000 - Advertising,,
"Mayur, LLC",Online wholesale food products and natural personal care items,MWBE,,,Yes,Yes,"70 Von Hillern Street, Dorchester, MA 2125",Dorchester,MA,2125,Manjari Saha,,(617) 633-9392,,saha.manjari@gmail.com,,Limited Liability Company,No,01/01/2016,Less than 10,"FD - Food Products, Services",,,445299 - All Other Specialty Food Stores ,446199 - All Other Health and Personal Care Stores ,,50190000 - Prepared and preserved foods,,
McCormick Bowers Associates,"Organizational Development, especially in diversity, strategic planning, team development; multi-cultural consultants, consulting with community based organizations on resource development   ",WBE,SLBE,,Yes,No,"10 Lochstead Avenue, Jamaica Plain, MA 2130",Jamaica Plain,MA,2130,Jane Bowers,,(617) 536-3426,(617) 720-2765,janemcba@aol.com,,Sole Proprietorship,No,01/01/1987,Less than 10,COG - Consultants: Human Resources,COM - Consultants: Management,TA - Training (see also ED),,,,,,
