Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
Jacob's Place,dorchester,2121.0,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,
Johnson (VUP) CDFI,dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Julian Phase I - HOME AGAIN,roxbury,2119.0,13,2,11,0.0,0.0,0.0,13,2,11.0,Ownership/Rental,Private,,
KAFANM - Circle of Haitian Women (aka Women's Institute),dorchester,2124.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
Kasanof Bakery (Rental & Ownership),roxbury,2119.0,64,48,16,0.0,0.0,0.0,64,48,16.0,Ownership/Rental,Private,,
Keazer (VUP),dorchester,2124.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Kenmore Abbey,fenway,2215.0,199,199,0,1.0,1.0,0.0,198,198,0.0,Rental,Private,Y,Y
Ketchen (VUP),roxbury,2119.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Keystone Apartments,dorchester,2124.0,223,223,0,1.0,1.0,0.0,222,222,0.0,Rental,Private,Y,Y
Kimbrough (VUP),dorchester,2124.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Kittredge Square,roxbury,2119.0,6,0,6,3.0,0.0,3.0,3,0,3.0,Ownership,Private,,
Larchmont Residence,dorchester,2124.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
Latin Academy Adaptive Re-use,dorchester,2124.0,58,58,0,38.0,38.0,0.0,20,20,0.0,Rental,Private,,
Lawrence (VUP),dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
LBB Housing,dorchester,2126.0,101,101,0,0.0,0.0,0.0,101,101,0.0,Rental,Private,,Y
Lenox Street (2-4),roxbury,2118.0,285,285,0,0.0,0.0,0.0,285,285,0.0,Rental,Public,,
Levedo Building,dorchester,2124.0,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,
Lithgow Apts,dorchester,2124.0,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,
LOGO Apts (73u),roxbury,2119.0,91,91,0,0.0,0.0,0.0,91,91,0.0,Rental,Private,,Y
Lorenzo Pitts Portfolio (JPNCD 2018),roxbury,2119.0,137,137,0,0.0,0.0,0.0,137,137,0.0,Rental,Private,,Y
Lower Mills (2-57),dorchester,2124.0,178,178,0,0.0,0.0,0.0,178,178,0.0,Rental,Public,Y,Y
Lower Roxbury Tenant Corp,roxbury,2120.0,70,70,0,17.0,17.0,0.0,53,53,0.0,Rental,Private,,
Lucerne Gardens,dorchester,2124.0,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y
Lucky Strike Residential Project,dorchester,2122.0,22,3,19,19.0,0.0,19.0,3,3,0.0,Ownership/Rental,Private,,
Luis (VUP),dorchester,2124.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
M Walsh (VUP),dorchester,2122.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
M.L. King Apartments (2-40),roxbury,2119.0,104,104,0,2.0,2.0,0.0,102,102,0.0,Rental,Public,Y,
Madison Melnea Cass Apts,roxbury,2119.0,76,76,0,4.0,4.0,0.0,72,72,0.0,Rental,Public/Private,,
Madison Parcel 10 Bldg C (Belvidere/Dalton East Offsite),roxbury,2119.0,30,30,0,9.0,9.0,0.0,21,21,0.0,Rental,Private,,
Madison Park III,roxbury,2120.0,120,120,0,0.0,0.0,0.0,120,120,0.0,Rental,Private,,Y
Madison Park IV,roxbury,2119.0,143,143,0,0.0,0.0,0.0,143,143,0.0,Rental,Private,,
Mandela Homes,roxbury,2118.0,276,276,0,0.0,0.0,0.0,276,276,0.0,Rental,Private,,Y
Maple Commons,roxbury,2119.0,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,,
Marcus Garvey Gardens,roxbury,2119.0,161,161,0,0.0,0.0,0.0,161,161,0.0,Rental,Private,Y,Y
Marksdale Gardens I&II,roxbury,2121.0,178,178,0,0.0,0.0,0.0,178,178,0.0,Cooperative,Private,,Y
Marriro (VUP) CDFI,roxbury,2121.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
Martinex-Alamo (VUP),roxbury,2125.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
Mattapan Apartments,dorchester,2122.0,183,183,0,0.0,0.0,0.0,183,183,0.0,Rental,Private,,Y
Mendes (VUP),dorchester,2125.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
Meranda (VUP),dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
MHPI IV-B,roxbury,2119.0,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y
MHPI IV-C,dorchester,2124.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
MHPI V,dorchester,2121.0,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,
MHPI VI,dorchester,2125.0,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,
Miller (VUP),dorchester,2122.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
MLK/Washington Commons,roxbury,2119.0,49,0,49,21.0,0.0,21.0,28,0,28.0,Ownership,Private,,
Moreland St Apts,roxbury,2119.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
Morton Apts,dorchester,2124.0,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,Y
Morville House,fenway,2115.0,147,147,0,0.0,0.0,0.0,147,147,0.0,Rental,Private,Y,Y
Mount Vernon St Housing Project (Phase 1),dorchester,2125.0,205,205,0,183.0,183.0,0.0,22,22,0.0,Rental,Private,,
Mr. Lee's Lodge,roxbury,2119.0,17,17,0,1.0,1.0,0.0,16,16,0.0,Rental,Private,,
Mt Pleasant Apts,roxbury,2119.0,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,Y
Mt. Bowdoin/Erie Ellington - HOME AGAIN,dorchester,2121.0,16,6,10,0.0,0.0,0.0,16,6,10.0,Ownership/Rental,Private,,
Nazing Court,roxbury,2121.0,151,151,0,0.0,0.0,0.0,151,151,0.0,Rental,Private,,
New England Heritage Homes 1,dorchester,2124.0,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
New England Heritage Homes 2,dorchester,2124.0,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
New England Heritage Homes 3,dorchester,2124.0,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
New England Heritage Homes 4,dorchester,2124.0,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
New England Heritage Homes 5,dorchester,2124.0,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
New England Heritage Homes 6,dorchester,2124.0,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
New England Heritage Homes 7,dorchester,2124.0,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
New Port Antonio Apts,roxbury,2119.0,227,227,0,0.0,0.0,0.0,227,227,0.0,Rental,Private,,Y
Newcastle/Saranac,roxbury,2127.0,97,97,0,48.0,48.0,0.0,49,49,0.0,Rental,Private,,Y
Nor-al,dorchester,2124.0,57,57,0,0.0,0.0,0.0,57,57,0.0,Rental,Private,,Y
Norfield,dorchester,2121.0,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y
Norflett (VUP),dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Northampton Street,roxbury,2118.0,32,0,32,26.0,0.0,26.0,6,0,6.0,Ownership,Private,,
Northampton Tower,roxbury,2118.0,347,347,0,86.0,86.0,0.0,261,261,0.0,Rental,Private,,
Northampton/Mass. Ave,roxbury,2118.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
Norway Housing,fenway,2115.0,136,136,0,0.0,0.0,0.0,136,136,0.0,Rental,Private,Y,Y
Norwell Townhouses,dorchester,2124.0,8,4,4,0.0,0.0,0.0,8,4,4.0,Ownership/Rental,Private,,
Norwell Whitfield (HOME AGAIN),dorchester,2124.0,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,
Nu Life Development,dorchester,2121.0,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
Oliveira (VUP),dorchester,2125.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
One Lenox (SPO),roxbury,2118.0,26,26,0,1.0,0.0,1.0,25,25,0.0,Rental,Private,,
One Newcomb Place,roxbury,2118.0,23,23,0,20.0,20.0,0.0,3,3,0.0,Rental,Private,,
Orchard Gardens,roxbury,2119.0,331,331,0,49.0,49.0,0.0,282,282,0.0,Rental,Public,,
Orchard Park (Off-Site Phase I),roxbury,2119.0,78,78,0,14.0,14.0,0.0,64,64,0.0,Rental,Private,,
Otis Field Estates,roxbury,2121.0,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
Owens (VUP),dorchester,2121.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
Parcel R-8,roxbury,2118.0,3,0,3,2.0,0.0,2.0,1,0,1.0,Ownership,Private,,
Park Cinema,dorchester,2122.0,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y
Park Congregate,dorchester,2124.0,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,Y,
Park Gardens,roxbury,2119.0,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y
Parkview SRO,fenway,2115.0,61,61,0,0.0,0.0,0.0,61,61,0.0,Rental,Private,,
Parmelee Court,roxbury,2118.0,74,74,0,25.0,25.0,0.0,49,49,0.0,Rental,Private,,
Parry (VUP),roxbury,2121.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
Pasciucco Apts (2-54),dorchester,2125.0,92,92,0,0.0,0.0,0.0,92,92,0.0,Rental,Public,Y,
Pass (VUP),dorchester,2124.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Peabody Building,dorchester,2124.0,18,18,0,7.0,7.0,0.0,11,11,0.0,Rental,Private,,
Peabody Square/Englewood (2-83),dorchester,2124.0,103,103,0,0.0,0.0,0.0,103,103,0.0,Rental,Public,Y,
Pereira (VUP),dorchester,2125.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Peterborough Housing,fenway,2215.0,220,220,0,0.0,0.0,0.0,220,220,0.0,Rental,Private,,Y
Peters (VUP),dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Phillips Brooks School,dorchester,2121.0,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,,
Pine Street Park Dr (SPO),fenway,2215.0,22,22,0,0.0,0.0,0.0,22,22,0.0,Rental,Private,,
Powell (VUP),roxbury,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Prang Estates,roxbury,2119.0,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,
Project Family Independence,roxbury,2119.0,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,
Putnam Place,roxbury,2121.0,9,1,8,2.0,0.0,2.0,7,1,6.0,Ownership/Rental,Private,,
Quincy Commons,roxbury,2119.0,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,
Quincy Heights,dorchester,2121.0,129,129,0,0.0,0.0,0.0,129,129,0.0,Rental,Private,,Y
RAP-UP I,roxbury,2119.0,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,Y
RAP-UP II B,roxbury,2119.0,51,51,0,0.0,0.0,0.0,51,51,0.0,Rental,Private,,Y
Raven-Ramsey-Folsom,dorchester,2125.0,7,4,3,1.0,0.0,1.0,6,3,3.0,Ownership/Rental,Private,,
Reddick (VUP),roxbury,2119.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Renwood-Cunard,roxbury,2120.0,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,
RMSC Family House Shelter Conversion,dorchester,2121.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
Robert L. Fortes House,roxbury,2118.0,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,Y,Y
Robinson (VUP),dorchester,2121.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Rockland 202: Warren Gardens,roxbury,2119.0,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,
Roxbury Corners Coop,roxbury,2118.0,54,54,0,13.0,13.0,0.0,41,41,0.0,Rental,Private,,
Roxse Homes,roxbury,2118.0,346,346,0,0.0,0.0,0.0,346,346,0.0,Rental,Private,,Y
Ruggles Shawmut Housing,roxbury,2119.0,43,43,0,0.0,0.0,0.0,43,43,0.0,Rental,Private,?,Y
Sarah Baker Manor,roxbury,2119.0,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,Y
Sargent Prince SRO,roxbury,2119.0,29,29,0,0.0,0.0,0.0,29,29,0.0,Rental,Private,,
Sargent Street Homes - Home Again,roxbury,2125.0,16,5,11,0.0,0.0,0.0,16,5,11.0,Ownership/Rental,Private,,
Savin Hill Apartments,dorchester,2125.0,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Private,Y,Y
Savin Maywood Init. (Phase II),roxbury,2119.0,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,
Savin/Creston Project,roxbury,2119.0,28,28,0,2.0,2.0,0.0,26,26,0.0,Rental,Private,,
Savin/Maywood (Phase III) - Home Again,roxbury,2119.0,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
School House 77,roxbury,2119.0,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,?,
SECD Housing,roxbury,2118.0,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y
Shawmut Estates (p/o Orchard Park offsite Phase 3 HO),roxbury,2119.0,15,0,15,0.0,0.0,0.0,15,0,15.0,Ownership,Private,,
Sister Clara Co-op,dorchester,2125.0,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,
Smith House,roxbury,2119.0,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Private,Y,
"Smith, Steven (VUP)",dorchester,2121.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
Soares (VUP),roxbury,2125.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
"Sonoma, Maple, Schuyler",roxbury,2121.0,115,115,0,15.0,15.0,0.0,100,100,0.0,Rental,Private,,Y
South Bay Mixed-Use Town Center (Building D),dorchester,2125.0,260,260,0,226.0,226.0,0.0,34,34,0.0,Rental,Private,,
South End Apartments,roxbury,2120.0,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,Y
SOUTH END APARTMENTS RENOVATION PROJECT,roxbury,2118.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
St Botolph Terrace,fenway,2115.0,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,,Y
St Cecilia's House,fenway,2115.0,123,123,0,0.0,0.0,0.0,123,123,0.0,Rental,Private,Y,
St James Estate Condominium,roxbury,2119.0,22,0,22,14.0,0.0,14.0,8,0,8.0,Ownership,Private,,
St Josephs Housing,roxbury,2119.0,137,137,0,32.0,32.0,0.0,105,105,,Rental,Private,,Y
St Kevin's,dorchester,2125.0,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,
Stafford Heights/New Boston Coop,roxbury,2119.0,41,41,0,0.0,0.0,0.0,41,41,0.0,Cooperative,Private,,
Stanwood Homes - Home Again,dorchester,2121.0,19,7,12,0.0,0.0,0.0,19,7,12.0,Ownership/Rental,Private,,
Stonewall at Audubon Circle Phase I,fenway,2215.0,53,0,53,48.0,0.0,48.0,5,0,5.0,Ownership,Private,,
Strathcona Arms (p/o Ten Most Wanted),dorchester,2121.0,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,
Sullivan (VUP),dorchester,2121.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
Sumner Court,dorchester,2125.0,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
Suppressed10,dorchester,2124.0,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,
Suppressed11,fenway,2115.0,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,Y,
Suppressed12,roxbury,2119.0,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,
Suppressed13,fenway,2215.0,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,
Suppressed18,dorchester,2122.0,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
Suppressed19,dorchester,2122.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
Suppressed2,roxbury,2120.0,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,
Suppressed20,dorchester,2125.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
Suppressed22,roxbury,2119.0,23,23,0,0.0,0.0,0.0,23,23,0.0,Rental,Private,,
Suppressed23,dorchester,2124.0,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
Suppressed24,dorchester,2124.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
Suppressed25,dorchester,2124.0,11,11,0,1.0,1.0,0.0,10,10,0.0,Rental,Private,,
Suppressed30,roxbury,2125.0,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,
Suppressed32,roxbury,2119.0,19,19,0,0.0,0.0,0.0,19,19,0.0,Rental,Private,,
Suppressed35,roxbury,2119.0,131,131,0,0.0,0.0,0.0,131,131,0.0,Rental,Private,,Y
Suppressed36,fenway,2115.0,48,48,0,0.0,0.0,0.0,48,48,0.0,Rental,Private,,Y
Suppressed4,dorchester,2125.0,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,Y
Suppressed5,dorchester,2125.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
Suppressed8,fenway,2115.0,14,14,0,1.0,1.0,0.0,13,13,0.0,Rental,Private,,
Suppressed9,roxbury,2119.0,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
Symphony Court at Burbank Street,fenway,2115.0,34,0,34,32.0,0.0,32.0,2,0,2.0,Ownership,Private,,
Symphony Plaza West,fenway,2115.0,216,216,0,0.0,0.0,0.0,216,216,0.0,Rental,Private,Y,Y
TAB I,dorchester,2125.0,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,Y,Y
TAB II?,dorchester,2125.0,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,
Talbot Commons Phase 1,dorchester,2124.0,40,40,0,21.0,21.0,0.0,19,19,0.0,Rental,Private,,
Talbot/Bernard (Elderly) 202,dorchester,2124.0,31,31,0,1.0,1.0,0.0,30,30,0.0,Rental,Private,Y,Y
Talbot/Bernard (Rental),dorchester,2124.0,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,
Tate (VUP),dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Taurus Apts,roxbury,2121.0,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y
Taurus at Fountain Hill,roxbury,2119.0,73,73,0,0.0,0.0,0.0,73,73,0.0,Rental,Private,,Y
Tebroc Levant (HOME AGAIN),dorchester,2124.0,5,1,4,0.0,0.0,0.0,5,1,4.0,Ownership/Rental,Private,,
Ten Most Wanted - 1,dorchester,2121.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
Ten Most Wanted - 10,roxbury,2125.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
Ten Most Wanted - 11,dorchester,2121.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Ten Most Wanted - 12,roxbury,2125.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
Ten Most Wanted - 13,roxbury,2119.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Ten Most Wanted - 14,dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Ten Most Wanted - 15,roxbury,2125.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
Ten Most Wanted - 3,roxbury,2119.0,4,2,2,0.0,0.0,0.0,4,2,2.0,Ownership/Rental,Private,,
Ten Most Wanted - 4,dorchester,2122.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Ten Most Wanted - 5,dorchester,2121.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Ten Most Wanted - 6,dorchester,2121.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Ten Most Wanted - 7,dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
Ten Most Wanted - 8,dorchester,2121.0,3,2,1,2.0,2.0,0.0,1,0,1.0,Ownership,Private,,
Ten Most Wanted - 9,dorchester,2121.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
Thane St Apts,dorchester,2124.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,Y
The Andi (South Bay Town Center Building C),dorchester,2125.0,215,215,0,187.0,187.0,0.0,28,28,0.0,Rental,Private,,
The Carillon,fenway,2115.0,31,30,1,30.0,30.0,0.0,1,0,1.0,Ownership/Rental,Private,,
The Clarion,roxbury,2121.0,39,39,0,7.0,7.0,0.0,32,32,0.0,Rental,Private,,
The Harmon Apartments (Boston Home Group),dorchester,2124.0,36,0,36,6.0,0.0,6.0,30,30,0.0,Rental,Private,,
The Melnea (Parcel 9/Residential),roxbury,2119.0,50,50,0,43.0,43.0,0.0,7,7,0.0,Rental,Private,,
The Modern,roxbury,2118.0,62,0,62,53.0,0.0,53.0,9,0,9.0,Ownership,Private,,
The Pierce,fenway,2215.0,349,240,109,307.0,68.0,239.0,42,41,1.0,Ownership/Rental,Private,,
Theroch,roxbury,2121.0,222,222,0,31.0,31.0,0.0,191,191,0.0,Rental,Private,,Y
Thetford-Dyer Neighborhood Homes,dorchester,2124.0,16,7,9,6.0,6.0,0.0,10,4,6.0,Ownership/Rental,Private,,
Treadmark,dorchester,2124.0,83,51,32,28.0,0.0,28.0,55,51,4.0,Ownership/Rental,Private,,
Tremont Houses,roxbury,2118.0,23,23,0,0.0,0.0,0.0,23,23,0.0,Rental,Private,,
Trilogy Residential,fenway,2215.0,534,534,0,475.0,475.0,0.0,59,59,0.0,Rental,Private,,
Trinity Terrace,dorchester,2121.0,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,,
Trull/Ware Homes,dorchester,2125.0,4,1,3,0.0,0.0,0.0,4,1,3.0,Ownership/Rental,Private,,
Twenty at Luma,roxbury,2119.0,20,0,20,0.0,0.0,0.0,20,0,20.0,Ownership,Private,,
Uphams Corner Market Residential and Elderhouse,dorchester,2125.0,45,45,0,1.0,1.0,0.0,44,44,0.0,Rental,Private,Y,
Uphams Corner/Red Hazel Apts,dorchester,2125.0,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,Y
Uphams West,roxbury,2125.0,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,
Urbanica 691,roxbury,2118.0,40,0,40,38.0,0.0,38.0,2,0,2.0,Ownership,Private,,
Urbanica Highland Park (E+),roxbury,2119.0,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,
Uva Douglas Estates,roxbury,2121.0,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,
Valenchuck (VUP),dorchester,2122.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
Van Ness Terrace,roxbury,2119.0,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,
Vet Step Up,roxbury,2121.0,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,
Viet-AID,dorchester,2122.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
Vines (VUP) CDFI,dorchester,2121.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
Viridian,fenway,2215.0,350,350,0,312.0,312.0,0.0,38,38,0.0,Rental,Private,,
Walker Park Apartments,roxbury,2130.0,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,
Walnut Community Housing,roxbury,2119.0,37,37,0,3.0,3.0,0.0,34,34,0.0,Rental,Private,Y,
Wardman Apts,roxbury,2119.0,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,,Y
Warren Gardens Coop,roxbury,2119.0,228,228,0,0.0,0.0,0.0,228,228,0.0,Cooperative,Private,,Y
Warren St Nursing Home,roxbury,2121.0,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
"Washington Heights I, II",roxbury,2119.0,175,175,0,0.0,0.0,0.0,175,175,0.0,Rental,Private,,Y
Washington Mews,dorchester,2124.0,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,
Watson (VUP),dorchester,2124.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
Waverly Homes II,roxbury,2125.0,9,2,7,0.0,0.0,0.0,9,2,7.0,Ownership/Rental,Private,,
Wayland Street Homes,roxbury,2125.0,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
Wayne Apartments,roxbury,2121.0,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,,Y
Wayne at Bicknell,dorchester,2121.0,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Private,,Y
Wayne at Columbia,dorchester,2121.0,83,83,0,0.0,0.0,0.0,83,83,0.0,Rental,Private,,Y
Wayne at Franklin,dorchester,2124.0,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Private,,Y
Wellington Hill Phase I,dorchester,2126.0,23,9,14,0.0,0.0,0.0,23,9,14.0,Ownership/Rental,Private,,
West Cottage St Condominiums,roxbury,2125.0,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,
Westland Avenue Apartments,fenway,2115.0,96,96,0,35.0,35.0,0.0,61,61,0.0,Rental,Private,Y,Y
Westminster 21 (Urban Edge),roxbury,2119.0,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
Westminster Court,roxbury,2119.0,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,
Whittier Street Apartments (2-11),roxbury,2120.0,144,144,0,16.0,16.0,0.0,128,128,0.0,Rental,Public/Private,,
Whittier/Lyndhurst/Washington,dorchester,2124.0,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,
Wilder Gardens,dorchester,2121.0,61,61,0,0.0,0.0,0.0,61,61,0.0,Rental,Private,,Y
Williams (VUP),roxbury,2119.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
Willowwood|Hildreth NHI,dorchester,2124.0,8,4,4,0.0,0.0,0.0,8,4,4.0,Ownership/Rental,Private,,
